Sentence,Tags
"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed .","(('To', 'O'), ('investigate', 'O'), ('the', 'O'), ('origin', 'O'), ('of', 'O'), ('this', 'O'), ('mutation', 'O'), ('in', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('families', 'O'), ('from', 'O'), ('England', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('4', 'O'), (')', 'O'), (',', 'O'), ('Newfoundland', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('10', 'O'), (')', 'O'), (',', 'O'), ('and', 'O'), ('the', 'O'), ('United', 'O'), ('States', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('3', 'O'), (')', 'O'), (',', 'O'), ('haplotype', 'O'), ('analysis', 'O'), ('using', 'O'), ('microsatellite', 'O'), ('markers', 'O'), ('linked', 'O'), ('to', 'O'), ('MSH2', 'O'), ('was', 'O'), ('performed', 'O'), ('.', 'O'))"
Within the English and US families there was little evidence for a recent common origin of the MSH2 splice site mutation in most families .,"(('Within', 'O'), ('the', 'O'), ('English', 'O'), ('and', 'O'), ('US', 'O'), ('families', 'O'), ('there', 'O'), ('was', 'O'), ('little', 'O'), ('evidence', 'O'), ('for', 'O'), ('a', 'O'), ('recent', 'O'), ('common', 'O'), ('origin', 'O'), ('of', 'O'), ('the', 'O'), ('MSH2', 'O'), ('splice', 'O'), ('site', 'O'), ('mutation', 'O'), ('in', 'O'), ('most', 'O'), ('families', 'O'), ('.', 'O'))"
"In contrast , a common haplotype was identified at the two flanking markers ( CA5 and D2S288 ) in eight of the Newfoundland families .","(('In', 'O'), ('contrast', 'O'), (',', 'O'), ('a', 'O'), ('common', 'O'), ('haplotype', 'O'), ('was', 'O'), ('identified', 'O'), ('at', 'O'), ('the', 'O'), ('two', 'O'), ('flanking', 'O'), ('markers', 'O'), ('(', 'O'), ('CA5', 'O'), ('and', 'O'), ('D2S288', 'O'), (')', 'O'), ('in', 'O'), ('eight', 'O'), ('of', 'O'), ('the', 'O'), ('Newfoundland', 'O'), ('families', 'O'), ('.', 'O'))"
These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .,"(('These', 'O'), ('findings', 'O'), ('suggested', 'O'), ('a', 'O'), ('founder', 'O'), ('effect', 'O'), ('within', 'O'), ('Newfoundland', 'O'), ('similar', 'O'), ('to', 'O'), ('that', 'O'), ('reported', 'O'), ('by', 'O'), ('others', 'O'), ('for', 'O'), ('two', 'O'), ('MLH1', 'O'), ('mutations', 'O'), ('in', 'O'), ('Finnish', 'O'), ('HNPCC', 'B'), ('families', 'O'), ('.', 'O'))"
"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately .","(('We', 'O'), ('calculated', 'O'), ('age', 'O'), ('related', 'O'), ('risks', 'O'), ('of', 'O'), ('all', 'O'), (',', 'O'), ('colorectal', 'B'), (',', 'I'), ('endometrial', 'I'), (',', 'I'), ('and', 'I'), ('ovarian', 'I'), ('cancers', 'I'), ('in', 'O'), ('nt943', 'O'), ('+', 'O'), ('3', 'O'), ('A', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), ('MSH2', 'O'), ('mutation', 'O'), ('carriers', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('76', 'O'), (')', 'O'), ('for', 'O'), ('all', 'O'), ('patients', 'O'), ('and', 'O'), ('for', 'O'), ('men', 'O'), ('and', 'O'), ('women', 'O'), ('separately', 'O'), ('.', 'O'))"
"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 .","(('For', 'O'), ('both', 'O'), ('sexes', 'O'), ('combined', 'O'), (',', 'O'), ('the', 'O'), ('penetrances', 'O'), ('at', 'O'), ('age', 'O'), ('60', 'O'), ('years', 'O'), ('for', 'O'), ('all', 'O'), ('cancers', 'B'), ('and', 'O'), ('for', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('were', 'O'), ('0', 'O'), ('.', 'O'))"
86 and 0 .,"(('86', 'O'), ('and', 'O'), ('0', 'O'), ('.', 'O'))"
"57 , respectively .","(('57', 'O'), (',', 'O'), ('respectively', 'O'), ('.', 'O'))"
"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) .","(('The', 'O'), ('risk', 'O'), ('of', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('was', 'O'), ('significantly', 'O'), ('higher', 'O'), ('(', 'O'), ('p', 'O'), ('<', 'O'), ('0', 'O'), ('.', 'O'), ('01', 'O'), (')', 'O'), ('in', 'O'), ('males', 'O'), ('than', 'O'), ('females', 'O'), ('(', 'O'), ('0', 'O'), ('.', 'O'), ('63', 'O'), ('v', 'O'), ('0', 'O'), ('.', 'O'), ('30', 'O'), ('and', 'O'), ('0', 'O'), ('.', 'O'), ('84', 'O'), ('v', 'O'), ('0', 'O'), ('.', 'O'), ('44', 'O'), ('at', 'O'), ('ages', 'O'), ('50', 'O'), ('and', 'O'), ('60', 'O'), ('years', 'O'), (',', 'O'), ('respectively', 'O'), (')', 'O'), ('.', 'O'))"
For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .,"(('For', 'O'), ('females', 'O'), ('there', 'O'), ('was', 'O'), ('a', 'O'), ('high', 'O'), ('risk', 'O'), ('of', 'O'), ('endometrial', 'B'), ('cancer', 'I'), ('(', 'O'), ('0', 'O'), ('.', 'O'), ('5', 'O'), ('at', 'O'), ('age', 'O'), ('60', 'O'), ('years', 'O'), (')', 'O'), ('and', 'O'), ('premenopausal', 'B'), ('ovarian', 'I'), ('cancer', 'I'), ('(', 'O'), ('0', 'O'), ('.', 'O'), ('2', 'O'), ('at', 'O'), ('50', 'O'), ('years', 'O'), (')', 'O'), ('.', 'O'))"
These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .,"(('These', 'O'), ('intersex', 'O'), ('differences', 'O'), ('in', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('risks', 'O'), ('have', 'O'), ('implications', 'O'), ('for', 'O'), ('screening', 'O'), ('programmes', 'O'), ('and', 'O'), ('for', 'O'), ('attempts', 'O'), ('to', 'O'), ('identify', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('susceptibility', 'O'), ('modifiers', 'O'), ('.', 'O'))"
Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .,"(('Age', 'O'), ('of', 'O'), ('onset', 'O'), ('in', 'O'), ('Huntington', 'B'), ('disease', 'I'), (':', 'O'), ('sex', 'O'), ('specific', 'O'), ('influence', 'O'), ('of', 'O'), ('apolipoprotein', 'O'), ('E', 'O'), ('genotype', 'O'), ('and', 'O'), ('normal', 'O'), ('CAG', 'O'), ('repeat', 'O'), ('length', 'O'), ('.', 'O'))"
Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .,"(('Age', 'O'), ('of', 'O'), ('onset', 'O'), ('(', 'O'), ('AO', 'O'), (')', 'O'), ('of', 'O'), ('Huntington', 'B'), ('disease', 'I'), ('(', 'O'), ('HD', 'B'), (')', 'O'), ('is', 'O'), ('known', 'O'), ('to', 'O'), ('be', 'O'), ('correlated', 'O'), ('with', 'O'), ('the', 'O'), ('length', 'O'), ('of', 'O'), ('an', 'O'), ('expanded', 'O'), ('CAG', 'O'), ('repeat', 'O'), ('in', 'O'), ('the', 'O'), ('HD', 'B'), ('gene', 'O'), ('.', 'O'))"
"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too .","(('Apolipoprotein', 'O'), ('E', 'O'), ('(', 'O'), ('APOE', 'O'), (')', 'O'), ('genotype', 'O'), (',', 'O'), ('in', 'O'), ('turn', 'O'), (',', 'O'), ('is', 'O'), ('known', 'O'), ('to', 'O'), ('influence', 'O'), ('AO', 'O'), ('in', 'O'), ('Alzheimer', 'B'), ('disease', 'I'), (',', 'O'), ('rendering', 'O'), ('the', 'O'), ('APOE', 'O'), ('gene', 'O'), ('a', 'O'), ('likely', 'O'), ('candidate', 'O'), ('to', 'O'), ('affect', 'O'), ('AO', 'O'), ('in', 'O'), ('other', 'O'), ('neurological', 'B'), ('diseases', 'I'), ('too', 'O'), ('.', 'O'))"
We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .,"(('We', 'O'), ('therefore', 'O'), ('determined', 'O'), ('APOE', 'O'), ('genotype', 'O'), ('and', 'O'), ('normal', 'O'), ('CAG', 'O'), ('repeat', 'O'), ('length', 'O'), ('in', 'O'), ('the', 'O'), ('HD', 'B'), ('gene', 'O'), ('for', 'O'), ('138', 'O'), ('HD', 'B'), ('patients', 'O'), ('who', 'O'), ('were', 'O'), ('previously', 'O'), ('analysed', 'O'), ('with', 'O'), ('respect', 'O'), ('to', 'O'), ('CAG', 'O'), ('repeat', 'O'), ('length', 'O'), ('.', 'O'))"
Genotyping for APOE was performed blind to clinical information .,"(('Genotyping', 'O'), ('for', 'O'), ('APOE', 'O'), ('was', 'O'), ('performed', 'O'), ('blind', 'O'), ('to', 'O'), ('clinical', 'O'), ('information', 'O'), ('.', 'O'))"
"In addition to highlighting the effect of the normal repeat length upon AO in maternally inherited HD and in male patients , we show that the APOE epsilon2epsilon3 genotype is associated with significantly earlier AO in males than in females .","(('In', 'O'), ('addition', 'O'), ('to', 'O'), ('highlighting', 'O'), ('the', 'O'), ('effect', 'O'), ('of', 'O'), ('the', 'O'), ('normal', 'O'), ('repeat', 'O'), ('length', 'O'), ('upon', 'O'), ('AO', 'O'), ('in', 'O'), ('maternally', 'O'), ('inherited', 'O'), ('HD', 'B'), ('and', 'O'), ('in', 'O'), ('male', 'O'), ('patients', 'O'), (',', 'O'), ('we', 'O'), ('show', 'O'), ('that', 'O'), ('the', 'O'), ('APOE', 'O'), ('epsilon2epsilon3', 'O'), ('genotype', 'O'), ('is', 'O'), ('associated', 'O'), ('with', 'O'), ('significantly', 'O'), ('earlier', 'O'), ('AO', 'O'), ('in', 'O'), ('males', 'O'), ('than', 'O'), ('in', 'O'), ('females', 'O'), ('.', 'O'))"
Such a sex difference in AO was not apparent for any of the other APOE genotypes .,"(('Such', 'O'), ('a', 'O'), ('sex', 'O'), ('difference', 'O'), ('in', 'O'), ('AO', 'O'), ('was', 'O'), ('not', 'O'), ('apparent', 'O'), ('for', 'O'), ('any', 'O'), ('of', 'O'), ('the', 'O'), ('other', 'O'), ('APOE', 'O'), ('genotypes', 'O'), ('.', 'O'))"
Our findings suggest that subtle differences in the course of the neurodegeneration in HD may allow interacting genes to exert gender specific effects upon AO .,"(('Our', 'O'), ('findings', 'O'), ('suggest', 'O'), ('that', 'O'), ('subtle', 'O'), ('differences', 'O'), ('in', 'O'), ('the', 'O'), ('course', 'O'), ('of', 'O'), ('the', 'O'), ('neurodegeneration', 'B'), ('in', 'O'), ('HD', 'B'), ('may', 'O'), ('allow', 'O'), ('interacting', 'O'), ('genes', 'O'), ('to', 'O'), ('exert', 'O'), ('gender', 'O'), ('specific', 'O'), ('effects', 'O'), ('upon', 'O'), ('AO', 'O'), ('.', 'O'))"
Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria .,"(('Familial', 'B'), ('deficiency', 'I'), ('of', 'I'), ('the', 'I'), ('seventh', 'I'), ('component', 'I'), ('of', 'I'), ('complement', 'I'), ('associated', 'O'), ('with', 'O'), ('recurrent', 'O'), ('bacteremic', 'B'), ('infections', 'I'), ('due', 'I'), ('to', 'I'), ('Neisseria', 'I'), ('.', 'O'))"
The serum of a 29 - year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity .,"(('The', 'O'), ('serum', 'O'), ('of', 'O'), ('a', 'O'), ('29', 'O'), ('-', 'O'), ('year', 'O'), ('old', 'O'), ('woman', 'O'), ('with', 'O'), ('a', 'O'), ('recent', 'O'), ('episode', 'O'), ('of', 'O'), ('disseminated', 'B'), ('gonococcal', 'I'), ('infection', 'I'), ('and', 'O'), ('a', 'O'), ('history', 'O'), ('of', 'O'), ('meningococcal', 'B'), ('meningitis', 'I'), ('and', 'O'), ('arthritis', 'B'), ('as', 'O'), ('a', 'O'), ('child', 'O'), ('was', 'O'), ('found', 'O'), ('to', 'O'), ('lack', 'O'), ('serum', 'O'), ('hemolytic', 'O'), ('complement', 'O'), ('activity', 'O'), ('.', 'O'))"
"The seventh component of complement ( C7 ) was not detected by functional or immunochemical assays , whereas other components were normal by hemolytic and immunochemical assessment .","(('The', 'O'), ('seventh', 'O'), ('component', 'O'), ('of', 'O'), ('complement', 'O'), ('(', 'O'), ('C7', 'O'), (')', 'O'), ('was', 'O'), ('not', 'O'), ('detected', 'O'), ('by', 'O'), ('functional', 'O'), ('or', 'O'), ('immunochemical', 'O'), ('assays', 'O'), (',', 'O'), ('whereas', 'O'), ('other', 'O'), ('components', 'O'), ('were', 'O'), ('normal', 'O'), ('by', 'O'), ('hemolytic', 'O'), ('and', 'O'), ('immunochemical', 'O'), ('assessment', 'O'), ('.', 'O'))"
"Her fresh serum lacked complement - mediated bactericidal activity against Neisseria gonorrhoeae , but the addition of fresh normal serum or purified C7 restored bactericidal activity as well as hemolytic activity .","(('Her', 'O'), ('fresh', 'O'), ('serum', 'O'), ('lacked', 'O'), ('complement', 'O'), ('-', 'O'), ('mediated', 'O'), ('bactericidal', 'O'), ('activity', 'O'), ('against', 'O'), ('Neisseria', 'O'), ('gonorrhoeae', 'O'), (',', 'O'), ('but', 'O'), ('the', 'O'), ('addition', 'O'), ('of', 'O'), ('fresh', 'O'), ('normal', 'O'), ('serum', 'O'), ('or', 'O'), ('purified', 'O'), ('C7', 'O'), ('restored', 'O'), ('bactericidal', 'O'), ('activity', 'O'), ('as', 'O'), ('well', 'O'), ('as', 'O'), ('hemolytic', 'O'), ('activity', 'O'), ('.', 'O'))"
The absence of functional C7 activity could not be accounted for on the basis of an inhibitor .,"(('The', 'O'), ('absence', 'B'), ('of', 'I'), ('functional', 'I'), ('C7', 'I'), ('activity', 'O'), ('could', 'O'), ('not', 'O'), ('be', 'O'), ('accounted', 'O'), ('for', 'O'), ('on', 'O'), ('the', 'O'), ('basis', 'O'), ('of', 'O'), ('an', 'O'), ('inhibitor', 'O'), ('.', 'O'))"
Opsonization and generation of chemotactic activity functioned normally .,"(('Opsonization', 'O'), ('and', 'O'), ('generation', 'O'), ('of', 'O'), ('chemotactic', 'O'), ('activity', 'O'), ('functioned', 'O'), ('normally', 'O'), ('.', 'O'))"
Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis as a child and in this siblings clinically well eight - year - old son .,"(('Complete', 'B'), ('absence', 'I'), ('of', 'I'), ('C7', 'I'), ('was', 'O'), ('also', 'O'), ('found', 'O'), ('in', 'O'), ('one', 'O'), ('sibling', 'O'), ('who', 'O'), ('had', 'O'), ('the', 'O'), ('clinical', 'O'), ('syndrome', 'O'), ('of', 'O'), ('meningococcal', 'B'), ('meningitis', 'I'), ('and', 'O'), ('arthritis', 'B'), ('as', 'O'), ('a', 'O'), ('child', 'O'), ('and', 'O'), ('in', 'O'), ('this', 'O'), ('siblings', 'O'), ('clinically', 'O'), ('well', 'O'), ('eight', 'O'), ('-', 'O'), ('year', 'O'), ('-', 'O'), ('old', 'O'), ('son', 'O'), ('.', 'O'))"
HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci .,"(('HLA', 'O'), ('histocompatibility', 'O'), ('typing', 'O'), ('of', 'O'), ('the', 'O'), ('family', 'O'), ('members', 'O'), ('did', 'O'), ('not', 'O'), ('demonstrate', 'O'), ('evidence', 'O'), ('for', 'O'), ('genetic', 'O'), ('linkage', 'O'), ('of', 'O'), ('C7', 'B'), ('deficiency', 'I'), ('with', 'O'), ('the', 'O'), ('major', 'O'), ('histocompatibility', 'O'), ('loci', 'O'), ('.', 'O'))"
This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections .,"(('This', 'O'), ('report', 'O'), ('represents', 'O'), ('the', 'O'), ('first', 'O'), ('cases', 'O'), ('of', 'O'), ('C7', 'B'), ('deficiency', 'I'), ('associated', 'O'), ('with', 'O'), ('infectious', 'O'), ('complications', 'O'), ('and', 'O'), ('suggests', 'O'), ('that', 'O'), ('bactericidal', 'O'), ('activity', 'O'), ('may', 'O'), ('be', 'O'), ('important', 'O'), ('in', 'O'), ('host', 'O'), ('defense', 'O'), ('against', 'O'), ('bacteremic', 'B'), ('neisseria', 'I'), ('infections', 'I'), ('.', 'O'))"
Increased incidence of cancer in patients with cartilage - hair hypoplasia .,"(('Increased', 'O'), ('incidence', 'O'), ('of', 'O'), ('cancer', 'B'), ('in', 'O'), ('patients', 'O'), ('with', 'O'), ('cartilage', 'B'), ('-', 'I'), ('hair', 'I'), ('hypoplasia', 'I'), ('.', 'O'))"
OBJECTIVE Previous reports have suggested an increased risk of cancer among patients with cartilage - hair hypoplasia ( CHH ) .,"(('OBJECTIVE', 'O'), ('Previous', 'O'), ('reports', 'O'), ('have', 'O'), ('suggested', 'O'), ('an', 'O'), ('increased', 'O'), ('risk', 'O'), ('of', 'O'), ('cancer', 'B'), ('among', 'O'), ('patients', 'O'), ('with', 'O'), ('cartilage', 'B'), ('-', 'I'), ('hair', 'I'), ('hypoplasia', 'I'), ('(', 'O'), ('CHH', 'B'), (')', 'O'), ('.', 'O'))"
This study was carried out to further evaluate this risk among patients with CHH and their first - degree relatives .,"(('This', 'O'), ('study', 'O'), ('was', 'O'), ('carried', 'O'), ('out', 'O'), ('to', 'O'), ('further', 'O'), ('evaluate', 'O'), ('this', 'O'), ('risk', 'O'), ('among', 'O'), ('patients', 'O'), ('with', 'O'), ('CHH', 'B'), ('and', 'O'), ('their', 'O'), ('first', 'O'), ('-', 'O'), ('degree', 'O'), ('relatives', 'O'), ('.', 'O'))"
STUDY DESIGN One hundred twenty - two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986 .,"(('STUDY', 'O'), ('DESIGN', 'O'), ('One', 'O'), ('hundred', 'O'), ('twenty', 'O'), ('-', 'O'), ('two', 'O'), ('patients', 'O'), ('with', 'O'), ('CHH', 'B'), ('were', 'O'), ('identified', 'O'), ('through', 'O'), ('2', 'O'), ('countrywide', 'O'), ('epidemiologic', 'O'), ('surveys', 'O'), ('in', 'O'), ('1974', 'O'), ('and', 'O'), ('in', 'O'), ('1986', 'O'), ('.', 'O'))"
