Sentence,Tags
"Since cortical spreading depression has been shown to liberate NO in animals , this finding may help our understanding of the coupling between cortical spreading depression and headache in migraine with aura .","(('Since', 'O'), ('cortical', 'O'), ('spreading', 'O'), ('depression', 'B'), ('has', 'O'), ('been', 'O'), ('shown', 'O'), ('to', 'O'), ('liberate', 'O'), ('NO', 'O'), ('in', 'O'), ('animals', 'O'), (',', 'O'), ('this', 'O'), ('finding', 'O'), ('may', 'O'), ('help', 'O'), ('our', 'O'), ('understanding', 'O'), ('of', 'O'), ('the', 'O'), ('coupling', 'O'), ('between', 'O'), ('cortical', 'O'), ('spreading', 'O'), ('depression', 'B'), ('and', 'O'), ('headache', 'B'), ('in', 'O'), ('migraine', 'B'), ('with', 'I'), ('aura', 'I'), ('.', 'O'))$$$"
"METHOD : We analyzed data from the Studies of Left Ventricular Dysfunction ( SOLVD ) , a randomized , double - blind , placebo - controlled trial of enalapril for the treatment of CHF .","(('METHOD', 'O'), (':', 'O'), ('We', 'O'), ('analyzed', 'O'), ('data', 'O'), ('from', 'O'), ('the', 'O'), ('Studies', 'O'), ('of', 'O'), ('Left', 'B'), ('Ventricular', 'I'), ('Dysfunction', 'I'), ('(', 'O'), ('SOLVD', 'O'), (')', 'O'), (',', 'O'), ('a', 'O'), ('randomized', 'O'), (',', 'O'), ('double', 'O'), ('-', 'O'), ('blind', 'O'), (',', 'O'), ('placebo', 'O'), ('-', 'O'), ('controlled', 'O'), ('trial', 'O'), ('of', 'O'), ('enalapril', 'O'), ('for', 'O'), ('the', 'O'), ('treatment', 'O'), ('of', 'O'), ('CHF', 'B'), ('.', 'O'))$$$"
"We used time - to - event analysis to identify potential predictors of decrease in renal function including age , baseline ejection fraction , baseline creatinine , low systolic blood pressure ( < 100 mm Hg ) , history of hypertension , diabetes , and use of antiplatelet , diuretic , and beta - blocker therapy .","(('We', 'O'), ('used', 'O'), ('time', 'O'), ('-', 'O'), ('to', 'O'), ('-', 'O'), ('event', 'O'), ('analysis', 'O'), ('to', 'O'), ('identify', 'O'), ('potential', 'O'), ('predictors', 'O'), ('of', 'O'), ('decrease', 'O'), ('in', 'O'), ('renal', 'O'), ('function', 'O'), ('including', 'O'), ('age', 'O'), (',', 'O'), ('baseline', 'O'), ('ejection', 'O'), ('fraction', 'O'), (',', 'O'), ('baseline', 'O'), ('creatinine', 'O'), (',', 'O'), ('low', 'O'), ('systolic', 'O'), ('blood', 'O'), ('pressure', 'O'), ('(', 'O'), ('<', 'O'), ('100', 'O'), ('mm', 'O'), ('Hg', 'O'), (')', 'O'), (',', 'O'), ('history', 'O'), ('of', 'O'), ('hypertension', 'B'), (',', 'O'), ('diabetes', 'B'), (',', 'O'), ('and', 'O'), ('use', 'O'), ('of', 'O'), ('antiplatelet', 'O'), (',', 'O'), ('diuretic', 'O'), (',', 'O'), ('and', 'O'), ('beta', 'O'), ('-', 'O'), ('blocker', 'O'), ('therapy', 'O'), ('.', 'O'))$$$"
We report a female patient with a diagnosis of a not otherwise specified psychotic disorder ( DSM - IV ) who developed hypomania shortly after the introduction of olanzapine treatment .,"(('We', 'O'), ('report', 'O'), ('a', 'O'), ('female', 'O'), ('patient', 'O'), ('with', 'O'), ('a', 'O'), ('diagnosis', 'O'), ('of', 'O'), ('a', 'O'), ('not', 'O'), ('otherwise', 'O'), ('specified', 'O'), ('psychotic', 'B'), ('disorder', 'I'), ('(', 'O'), ('DSM', 'O'), ('-', 'O'), ('IV', 'O'), (')', 'O'), ('who', 'O'), ('developed', 'O'), ('hypomania', 'B'), ('shortly', 'O'), ('after', 'O'), ('the', 'O'), ('introduction', 'O'), ('of', 'O'), ('olanzapine', 'O'), ('treatment', 'O'), ('.', 'O'))$$$"
"In patients with decompensated heart failure with hypotension after treatment with milrinone , low doses of vasopressin restored blood pressure without inhibiting the inotropic effect of milrinone .","(('In', 'O'), ('patients', 'O'), ('with', 'O'), ('decompensated', 'O'), ('heart', 'B'), ('failure', 'I'), ('with', 'O'), ('hypotension', 'B'), ('after', 'O'), ('treatment', 'O'), ('with', 'O'), ('milrinone', 'O'), (',', 'O'), ('low', 'O'), ('doses', 'O'), ('of', 'O'), ('vasopressin', 'O'), ('restored', 'O'), ('blood', 'O'), ('pressure', 'O'), ('without', 'O'), ('inhibiting', 'O'), ('the', 'O'), ('inotropic', 'O'), ('effect', 'O'), ('of', 'O'), ('milrinone', 'O'), ('.', 'O'))$$$"
"Indications for early conversion were neurotoxicity ( 20 ) , ( insulin - dependent ) diabetes mellitus ( IDDM ) ( 5 ) , nephrotoxicity ( 3 ) , gastrointestinal ( GI ) toxicity ( 6 ) , and cardiomyopathy ( 1 ) , and for late conversion were neurotoxicity ( 15 ) , IDDM ( 12 ) , nephrotoxicity ( 3 ) , GI toxicity ( 5 ) , hepatotoxicity ( 6 ) , post - transplant lmphoproliferate disease (","(('Indications', 'O'), ('for', 'O'), ('early', 'O'), ('conversion', 'O'), ('were', 'O'), ('neurotoxicity', 'B'), ('(', 'O'), ('20', 'O'), (')', 'O'), (',', 'O'), ('(', 'B'), ('insulin', 'I'), ('-', 'I'), ('dependent', 'I'), (')', 'I'), ('diabetes', 'I'), ('mellitus', 'I'), ('(', 'O'), ('IDDM', 'B'), (')', 'O'), ('(', 'O'), ('5', 'O'), (')', 'O'), (',', 'O'), ('nephrotoxicity', 'B'), ('(', 'O'), ('3', 'O'), (')', 'O'), (',', 'O'), ('gastrointestinal', 'B'), ('(', 'I'), ('GI', 'I'), (')', 'I'), ('toxicity', 'I'), ('(', 'O'), ('6', 'O'), (')', 'O'), (',', 'O'), ('and', 'O'), ('cardiomyopathy', 'B'), ('(', 'O'), ('1', 'O'), (')', 'O'), (',', 'O'), ('and', 'O'), ('for', 'O'), ('late', 'O'), ('conversion', 'O'), ('were', 'O'), ('neurotoxicity', 'B'), ('(', 'O'), ('15', 'O'), (')', 'O'), (',', 'O'), ('IDDM', 'B'), ('(', 'O'), ('12', 'O'), (')', 'O'), (',', 'O'), ('nephrotoxicity', 'B'), ('(', 'O'), ('3', 'O'), (')', 'O'), (',', 'O'), ('GI', 'B'), ('toxicity', 'I'), ('(', 'O'), ('5', 'O'), (')', 'O'), (',', 'O'), ('hepatotoxicity', 'B'), ('(', 'O'), ('6', 'O'), (')', 'O'), (',', 'O'), ('post', 'B'), ('-', 'I'), ('transplant', 'I'), ('lmphoproliferate', 'I'), ('disease', 'I'), ('(', 'O'))$$$"
"PTLD ) ( 2 ) , cardiomyopathy ( 1 ) , hemolytic anemia ( 1 ) , and pruritus ( 1 ) .","(('PTLD', 'B'), (')', 'O'), ('(', 'O'), ('2', 'O'), (')', 'O'), (',', 'O'), ('cardiomyopathy', 'B'), ('(', 'O'), ('1', 'O'), (')', 'O'), (',', 'O'), ('hemolytic', 'B'), ('anemia', 'I'), ('(', 'O'), ('1', 'O'), (')', 'O'), (',', 'O'), ('and', 'O'), ('pruritus', 'B'), ('(', 'O'), ('1', 'O'), (')', 'O'), ('.', 'O'))$$$"
"Forty - four percent of patients with uveitis had one or more identifiable signs or symptoms , such as red eye , ocular pain , decreased visual acuity , or photophobia , in order of decreasing frequency .","(('Forty', 'O'), ('-', 'O'), ('four', 'O'), ('percent', 'O'), ('of', 'O'), ('patients', 'O'), ('with', 'O'), ('uveitis', 'B'), ('had', 'O'), ('one', 'O'), ('or', 'O'), ('more', 'O'), ('identifiable', 'O'), ('signs', 'O'), ('or', 'O'), ('symptoms', 'O'), (',', 'O'), ('such', 'O'), ('as', 'O'), ('red', 'O'), ('eye', 'O'), (',', 'O'), ('ocular', 'B'), ('pain', 'I'), (',', 'O'), ('decreased', 'B'), ('visual', 'I'), ('acuity', 'I'), (',', 'O'), ('or', 'O'), ('photophobia', 'B'), (',', 'O'), ('in', 'O'), ('order', 'O'), ('of', 'O'), ('decreasing', 'O'), ('frequency', 'O'), ('.', 'O'))$$$"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"(('Systemically', 'O'), ('administered', 'O'), ('corticosteroids', 'O'), ('were', 'O'), ('used', 'O'), ('in', 'O'), ('75', 'O'), ('of', 'O'), ('210', 'O'), ('cases', 'O'), (';', 'O'), ('a', 'O'), ('significant', 'O'), ('number', 'O'), ('of', 'O'), ('posterior', 'O'), ('subcapsular', 'O'), ('cataracts', 'B'), ('was', 'O'), ('found', 'O'), ('.', 'O'))$$$"
"CONCLUSIONS : Overall , these results indicate that this experimental model of CP - induced cystitis may be an interesting new behavioral model of inflammatory visceral pain , allowing a better understanding of these painful syndromes and thus a better therapeutic approach to them .","(('CONCLUSIONS', 'O'), (':', 'O'), ('Overall', 'O'), (',', 'O'), ('these', 'O'), ('results', 'O'), ('indicate', 'O'), ('that', 'O'), ('this', 'O'), ('experimental', 'O'), ('model', 'O'), ('of', 'O'), ('CP', 'O'), ('-', 'O'), ('induced', 'O'), ('cystitis', 'B'), ('may', 'O'), ('be', 'O'), ('an', 'O'), ('interesting', 'O'), ('new', 'O'), ('behavioral', 'O'), ('model', 'O'), ('of', 'O'), ('inflammatory', 'O'), ('visceral', 'B'), ('pain', 'I'), (',', 'O'), ('allowing', 'O'), ('a', 'O'), ('better', 'O'), ('understanding', 'O'), ('of', 'O'), ('these', 'O'), ('painful', 'B'), ('syndromes', 'I'), ('and', 'O'), ('thus', 'O'), ('a', 'O'), ('better', 'O'), ('therapeutic', 'O'), ('approach', 'O'), ('to', 'O'), ('them', 'O'), ('.', 'O'))$$$"
"On Day 8 , the nerve - evoked peak twitch tensions , tetanic tensions , and fatigability , and the dose - response curves of d - tubocurarine in the tibialis cranialis muscle were measured in vivo and related to muscle mass or expression of AChRs .","(('On', 'O'), ('Day', 'O'), ('8', 'O'), (',', 'O'), ('the', 'O'), ('nerve', 'O'), ('-', 'O'), ('evoked', 'O'), ('peak', 'O'), ('twitch', 'O'), ('tensions', 'O'), (',', 'O'), ('tetanic', 'B'), ('tensions', 'O'), (',', 'O'), ('and', 'O'), ('fatigability', 'O'), (',', 'O'), ('and', 'O'), ('the', 'O'), ('dose', 'O'), ('-', 'O'), ('response', 'O'), ('curves', 'O'), ('of', 'O'), ('d', 'O'), ('-', 'O'), ('tubocurarine', 'O'), ('in', 'O'), ('the', 'O'), ('tibialis', 'O'), ('cranialis', 'O'), ('muscle', 'O'), ('were', 'O'), ('measured', 'O'), ('in', 'O'), ('vivo', 'O'), ('and', 'O'), ('related', 'O'), ('to', 'O'), ('muscle', 'O'), ('mass', 'O'), ('or', 'O'), ('expression', 'O'), ('of', 'O'), ('AChRs', 'O'), ('.', 'O'))$$$"
"The evoked peak twitch and tetanic tensions were less in the P100 group than in the P10 or S groups , however , tension per milligram of muscle mass was greater in the P100 group than in the S group .","(('The', 'O'), ('evoked', 'O'), ('peak', 'O'), ('twitch', 'O'), ('and', 'O'), ('tetanic', 'B'), ('tensions', 'O'), ('were', 'O'), ('less', 'O'), ('in', 'O'), ('the', 'O'), ('P100', 'O'), ('group', 'O'), ('than', 'O'), ('in', 'O'), ('the', 'O'), ('P10', 'O'), ('or', 'O'), ('S', 'O'), ('groups', 'O'), (',', 'O'), ('however', 'O'), (',', 'O'), ('tension', 'O'), ('per', 'O'), ('milligram', 'O'), ('of', 'O'), ('muscle', 'O'), ('mass', 'O'), ('was', 'O'), ('greater', 'O'), ('in', 'O'), ('the', 'O'), ('P100', 'O'), ('group', 'O'), ('than', 'O'), ('in', 'O'), ('the', 'O'), ('S', 'O'), ('group', 'O'), ('.', 'O'))$$$"
"The main side effects of subcutaneous apomorphine treatment are related to cutaneous tolerability problems , whereas sedation and psychiatric complications play a lesser role .","(('The', 'O'), ('main', 'O'), ('side', 'O'), ('effects', 'O'), ('of', 'O'), ('subcutaneous', 'O'), ('apomorphine', 'O'), ('treatment', 'O'), ('are', 'O'), ('related', 'O'), ('to', 'O'), ('cutaneous', 'O'), ('tolerability', 'O'), ('problems', 'O'), (',', 'O'), ('whereas', 'O'), ('sedation', 'O'), ('and', 'O'), ('psychiatric', 'B'), ('complications', 'O'), ('play', 'O'), ('a', 'O'), ('lesser', 'O'), ('role', 'O'), ('.', 'O'))$$$"
"OBJECTIVE : The pharmacological response to drugs that act on the cholinergic system of the iris has been used to predict deficits in central cholinergic functioning due to diseases such as Alzheimer ' s disease , yet correlations between central and peripheral responses have not been properly studied .","(('OBJECTIVE', 'O'), (':', 'O'), ('The', 'O'), ('pharmacological', 'O'), ('response', 'O'), ('to', 'O'), ('drugs', 'O'), ('that', 'O'), ('act', 'O'), ('on', 'O'), ('the', 'O'), ('cholinergic', 'O'), ('system', 'O'), ('of', 'O'), ('the', 'O'), ('iris', 'O'), ('has', 'O'), ('been', 'O'), ('used', 'O'), ('to', 'O'), ('predict', 'O'), ('deficits', 'O'), ('in', 'O'), ('central', 'O'), ('cholinergic', 'O'), ('functioning', 'O'), ('due', 'O'), ('to', 'O'), ('diseases', 'O'), ('such', 'O'), ('as', 'O'), ('Alzheimer', 'B'), (""'"", 'I'), ('s', 'I'), ('disease', 'I'), (',', 'O'), ('yet', 'O'), ('correlations', 'O'), ('between', 'O'), ('central', 'O'), ('and', 'O'), ('peripheral', 'O'), ('responses', 'O'), ('have', 'O'), ('not', 'O'), ('been', 'O'), ('properly', 'O'), ('studied', 'O'), ('.', 'O'))$$$"
This study was designed to describe pain tolerance and analgesic response in a sample of opioid addicts stabilized in methadone - maintenance ( MM ) treatment ( n = 60 ) in comparison to matched nondependent control subjects ( n = 60 ) .,"(('This', 'O'), ('study', 'O'), ('was', 'O'), ('designed', 'O'), ('to', 'O'), ('describe', 'O'), ('pain', 'B'), ('tolerance', 'O'), ('and', 'O'), ('analgesic', 'O'), ('response', 'O'), ('in', 'O'), ('a', 'O'), ('sample', 'O'), ('of', 'O'), ('opioid', 'B'), ('addicts', 'I'), ('stabilized', 'O'), ('in', 'O'), ('methadone', 'O'), ('-', 'O'), ('maintenance', 'O'), ('(', 'O'), ('MM', 'O'), (')', 'O'), ('treatment', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('60', 'O'), (')', 'O'), ('in', 'O'), ('comparison', 'O'), ('to', 'O'), ('matched', 'O'), ('nondependent', 'O'), ('control', 'O'), ('subjects', 'O'), ('(', 'O'), ('n', 'O'), ('=', 'O'), ('60', 'O'), (')', 'O'), ('.', 'O'))$$$"
"By using a placebo - controlled , two - way factorial design , tolerance to cold - pressor ( CP ) pain was examined , both before and after oral administration of therapeutic doses of common opioid ( hydromorphone 2 mg ) and nonsteroidal anti - inflammatory ( ketorolac 10 mg ) analgesic agents .","(('By', 'O'), ('using', 'O'), ('a', 'O'), ('placebo', 'O'), ('-', 'O'), ('controlled', 'O'), (',', 'O'), ('two', 'O'), ('-', 'O'), ('way', 'O'), ('factorial', 'O'), ('design', 'O'), (',', 'O'), ('tolerance', 'O'), ('to', 'O'), ('cold', 'O'), ('-', 'O'), ('pressor', 'O'), ('(', 'O'), ('CP', 'O'), (')', 'O'), ('pain', 'B'), ('was', 'O'), ('examined', 'O'), (',', 'O'), ('both', 'O'), ('before', 'O'), ('and', 'O'), ('after', 'O'), ('oral', 'O'), ('administration', 'O'), ('of', 'O'), ('therapeutic', 'O'), ('doses', 'O'), ('of', 'O'), ('common', 'O'), ('opioid', 'O'), ('(', 'O'), ('hydromorphone', 'O'), ('2', 'O'), ('mg', 'O'), (')', 'O'), ('and', 'O'), ('nonsteroidal', 'O'), ('anti', 'O'), ('-', 'O'), ('inflammatory', 'O'), ('(', 'O'), ('ketorolac', 'O'), ('10', 'O'), ('mg', 'O'), (')', 'O'), ('analgesic', 'O'), ('agents', 'O'), ('.', 'O'))$$$"
"Results showed that MM individuals were significantly less tolerant of CP pain than control subjects , replicating previous work .","(('Results', 'O'), ('showed', 'O'), ('that', 'O'), ('MM', 'O'), ('individuals', 'O'), ('were', 'O'), ('significantly', 'O'), ('less', 'O'), ('tolerant', 'O'), ('of', 'O'), ('CP', 'O'), ('pain', 'B'), ('than', 'O'), ('control', 'O'), ('subjects', 'O'), (',', 'O'), ('replicating', 'O'), ('previous', 'O'), ('work', 'O'), ('.', 'O'))$$$"
These data indicate that MM opioid abusers represent a pain - intolerant subset of clinical patients .,"(('These', 'O'), ('data', 'O'), ('indicate', 'O'), ('that', 'O'), ('MM', 'O'), ('opioid', 'O'), ('abusers', 'O'), ('represent', 'O'), ('a', 'O'), ('pain', 'B'), ('-', 'I'), ('intolerant', 'I'), ('subset', 'O'), ('of', 'O'), ('clinical', 'O'), ('patients', 'O'), ('.', 'O'))$$$"
