Dataset,Sentence,Gold,Pred,Error Class
BC5,The cDNA of mouse HGO has an overall identity of 41 % to the corresponding gene hmgA from Aspergillus .,"[""('Aspergillus', 'O')""]","[""('Aspergillus', 'B')""]",
BC5,"The findings suggest that both HDL concentration and the dynamics of cholesterol transport through HDL ( i . e . , reverse cholesterol transport ) determine the anti - atherogenicity of the HDL fraction .","[""('atherogenicity', 'O')""]","[""('atherogenicity', 'B')""]",
BC5,"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","[""('growth', 'O')"", ""('-', 'O')"", ""('retarded', 'O')"", ""('infertile', 'O')""]","[""('growth', 'B')"", ""('-', 'I')"", ""('retarded', 'I')"", ""('infertile', 'B')""]",
BC5,"The losses invariably involved the wild type allele derived from the unaffected parent , suggesting the inactivation of a tumor suppressor gene in this region","[""('tumor', 'B')""]","[""('tumor', 'O')""]",
BC5,"The most common variant of GALT , the Duarte variant , occurs as two types , Duarte - 1 ( D - 1 ) and Duarte - 2 ( D - 2 ) , both of which carry the sequence change N314D .","[""('GALT', 'O')""]","[""('GALT', 'B')""]",
BC5,The tumor suppressor gene Brca1 is required for embryonic cellular proliferation in the mouse .,"[""('tumor', 'B')""]","[""('tumor', 'O')""]",
BC5,The variable penetrance of BRCA1 suggests that other genetic and non - genetic factors play a role in tumourigenesis in these individuals .,"[""('tumourigenesis', 'O')""]","[""('tumourigenesis', 'B')""]",
BC5,"These data functionally define a novel genetic locus , designated PAC1 , for prostate adenocarcinoma 1 , involved in tumor suppression of human prostate carcinoma and furthermore strongly suggest that the cell death pathway can be functionally restored in prostatic adenocarcinoma . .","[""('prostate', 'O')"", ""('adenocarcinoma', 'O')"", ""('tumor', 'O')""]","[""('prostate', 'B')"", ""('adenocarcinoma', 'I')"", ""('tumor', 'B')""]",
BC5,This cellular transformation in vitro will facilitate studies on the mechanism of PAX3 - FKHR - induced oncogenesis . .,"[""('oncogenesis', 'O')""]","[""('oncogenesis', 'B')""]",
BC5,"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","[""('breast', 'O')"", ""('/', 'O')"", ""('ovarian', 'O')"", ""('tumorigenesis', 'O')""]","[""('breast', 'B')"", ""('/', 'I')"", ""('ovarian', 'I')"", ""('tumorigenesis', 'I')""]",
BC5,"To identify possible features of the BRCA1 genomic region that may contribute to chromosomal instability as well as potential transcriptional regulatory elements , a 117 , 143 - bp DNA sequence encompassing BRCA1 was obtained by random sequencing of four cosmids identified from a human chromosome 17 specific library .","[""('chromosomal', 'O')"", ""('instability', 'O')""]","[""('chromosomal', 'B')"", ""('instability', 'I')""]",
BC5,We report the functional definition of a novel genetic locus within human chromosome 10pter - q11 that mediates both in vivo tumor suppression and in vitro apoptosis of prostatic adenocarcinoma cells .,"[""('tumor', 'O')""]","[""('tumor', 'B')""]",
NCBI,A 2 year old female presenting with bilateral sporadic aniridia was found to have an apparently balanced reciprocal translocation with a chromosome 11 breakpoint within band p13 .,"[""('bilateral', 'B')"", ""('sporadic', 'I')"", ""('aniridia', 'I')""]","[""('bilateral', 'O')"", ""('sporadic', 'O')"", ""('aniridia', 'B')""]",
NCBI,"A population - based series of 54 male breast cancer cases from Southern California were analyzed for germ - line mutations in the inherited breast / ovarian cancer genes , BRCA1 and BRCA2 .","[""('male', 'B')"", ""('breast', 'I')""]","[""('male', 'O')"", ""('breast', 'B')""]",
NCBI,Alignment of the predicted amino acid sequence of human VLCAD with those of the other human ACD enzymes revealed extensive sequence homology .,"[""('ACD', 'O')""]","[""('ACD', 'B')""]",
NCBI,"Although the DM mutation was identified more than five years ago , the pathogenic mechanisms underlying this most prevalent form of hereditary adult neuromuscular disease remain elusive .","[""('hereditary', 'O')"", ""('adult', 'O')"", ""('neuromuscular', 'B')""]","[""('hereditary', 'B')"", ""('adult', 'I')"", ""('neuromuscular', 'I')""]",
NCBI,"Atm , Acat1 , and Npat , which is a new gene isolated from the AT region , and 12 flanking microsatellite DNA markers were examined .","[""('AT', 'O')""]","[""('AT', 'B')""]",
NCBI,Atm - deficient fibroblasts grow poorly in culture and display a high level of double - stranded chromosome breaks .,"[""('Atm', 'O')"", ""('-', 'O')"", ""('deficient', 'O')""]","[""('Atm', 'B')"", ""('-', 'I')"", ""('deficient', 'I')""]",
NCBI,Atm - deficient thymocytes undergo spontaneous apoptosis in vitro significantly more than controls .,"[""('Atm', 'O')"", ""('-', 'O')"", ""('deficient', 'O')""]","[""('Atm', 'B')"", ""('-', 'I')"", ""('deficient', 'I')""]",
NCBI,"BACKGROUND & AIMS The chromosome region 18q21 has been shown to be frequently deleted in colorectal cancers , and such frequent allelic loss is a hallmark of the presence of a tumor - suppressor gene .","[""('tumor', 'O')""]","[""('tumor', 'B')""]",
NCBI,"By electrophysiological tests and magnetic resonance imaging it was determined that two patients had cerebral ALD , one had adrenomyeloneuropathy with cerebral involvement , and two had preclinical AMN .","[""('involvement', 'O')""]","[""('involvement', 'I')""]",
NCBI,CONCLUSIONS DCC is a prognostic marker in patients with stage II or stage III colorectal cancer .,"[""('colorectal', 'I')""]","[""('colorectal', 'B')""]",
NCBI,"CONCLUSIONS The DPC4 gene may play a role as a tumor - suppressor gene in a fraction of colorectal cancers ; however , while allelic loss at 18q21 is very often seen in colorectal cancers , only a minority show DPC4 mutations , suggesting that there might be another tumor - suppressor gene in this chromosome region . .","[""('tumor', 'O')"", ""('tumor', 'O')""]","[""('tumor', 'B')"", ""('tumor', 'B')""]",
NCBI,"Chromosomal locations of the Atm ( ataxia - telangiectasia ( AT ) - mutated ) and Acat1 ( mitochondrial acetoacetyl - CoA thiolase ) genes in mouse , rat , and Syrian hamster were determined by direct R - banding FISH .","[""('AT', 'B')""]","[""('AT', 'O')""]",
NCBI,Chromosome 3p deletion was detected in 98 per cent of non - papillary renal cell carcinomas and in 25 per cent of chromophobe renal cell carcinomas .,"[""('chromophobe', 'O')"", ""('renal', 'B')""]","[""('chromophobe', 'B')"", ""('renal', 'I')""]",
NCBI,Classical phenylketonuria ( PKU ) is an autosomal recessive disorder caused by a deficiency of hepatic phenylalanine hydroxylase ( PAH ) .,"[""('Classical', 'O')"", ""('phenylketonuria', 'B')""]","[""('Classical', 'B')"", ""('phenylketonuria', 'I')""]",
NCBI,DGGE detected 59 of the 60 classical galactosemia alleles .,"[""('classical', 'O')"", ""('galactosemia', 'B')""]","[""('classical', 'B')"", ""('galactosemia', 'I')""]",
NCBI,Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,"[""('neoplastic', 'O')""]","[""('neoplastic', 'B')""]",
NCBI,Deletion analysis defined a 144 - bp region of the VEGF promoter necessary for VHL repression .,"[""('VHL', 'O')""]","[""('VHL', 'B')""]",
NCBI,"Dmpk - / - mice develop a late - onset , progressive skeletal myopathy that shares some pathological features with DM .","[""('progressive', 'B')"", ""('skeletal', 'I')""]","[""('progressive', 'O')"", ""('skeletal', 'B')""]",
NCBI,FISH studies in a patient with sporadic aniridia and t ( 7 ; 11 ) ( q31 . 2 ; p13 ) .,"[""('sporadic', 'B')"", ""('aniridia', 'I')""]","[""('sporadic', 'O')"", ""('aniridia', 'B')""]",
NCBI,"Finally , this report provides a widely applicable strategy which ensures fast and effective screening for intronic defects that underlie differential gene expression . .","[""('intronic', 'O')"", ""('defects', 'O')""]","[""('intronic', 'B')"", ""('defects', 'I')""]",
NCBI,"Finally - and in contrast to prior predictions - atm and p53 do not appear to interact in acute radiation toxicity , suggesting a separate atm effector pathway for this DNA damage response and having implications for the prognosis and treatment of human tumours . .","[""('acute', 'B')"", ""('radiation', 'I')"", ""('toxicity', 'I')""]","[""('acute', 'O')"", ""('radiation', 'O')"", ""('toxicity', 'O')""]",
NCBI,Fine genetic linkage mapping of the mouse AT region was performed using the interspecific backcross mice .,"[""('AT', 'B')""]","[""('AT', 'O')""]",
NCBI,"Furthermore , endogenous VEGF mRNA levels were suppressed in permanent RCC cell lines expressing wt - VHL , and nuclear run - on studies indicated that VHL regulation of VEGF occurs at least partly at the transcriptional level .","[""('RCC', 'B')"", ""('VHL', 'O')""]","[""('RCC', 'O')"", ""('VHL', 'B')""]",
NCBI,Germline mutations in the 3 ' part of APC exon 15 do not result in truncated proteins and are associated with attenuated adenomatous polyposis coli .,"[""('attenuated', 'O')"", ""('adenomatous', 'B')""]","[""('attenuated', 'B')"", ""('adenomatous', 'I')""]",
NCBI,HPRT - deficient mice generated using mouse embryonic stem cells exhibit none of the behavioral symptoms associated with the Lesch - Nyhan syndrome .,"[""('HPRT', 'B')"", ""('-', 'I')""]","[""('HPRT', 'O')"", ""('-', 'O')""]",
NCBI,"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","[""('fibre', 'O')"", ""('-', 'O')"", ""('type', 'O')"", ""('dependent', 'O')"", ""('atrophy', 'B')""]","[""('fibre', 'B')"", ""('-', 'I')"", ""('type', 'I')"", ""('dependent', 'I')"", ""('atrophy', 'I')""]",
NCBI,"However , these mutations are uncommon in the population and they probably account for only a few percent of all breast cancer incidence .","[""('cancer', 'I')""]","[""('cancer', 'O')""]",
NCBI,"In all three cases , there is a strong family history of breast , ovarian , or other cancers possibly related to a BRCA1 defect and family members showed a high concordance of cancer incidence with the presence of R841W .","[""('BRCA1', 'O')"", ""('defect', 'O')""]","[""('BRCA1', 'B')"", ""('defect', 'I')""]",
NCBI,"In contrast , a vector derived from a recombinant adenovirus can restore 10 % - 80 % of normal hepatic PAH activity into PAH - deficient mice , which completely normalizes serum phenylalanine levels .","[""('PAH', 'B')"", ""('-', 'I')"", ""('deficient', 'I')""]","[""('PAH', 'O')"", ""('-', 'O')"", ""('deficient', 'O')""]",
NCBI,"In patients with stage II disease whose tumors expressed DCC , the five - year survival rate was 94 .","[""('stage', 'O')"", ""('II', 'O')"", ""('disease', 'O')""]","[""('stage', 'B')"", ""('II', 'I')"", ""('disease', 'I')""]",
NCBI,"In patients with stage III disease , the respective survival rates were 59 .","[""('disease', 'I')""]","[""('disease', 'O')""]",
NCBI,"In pedigree analyses , this 1721C - - > T transition segregated with the LA phenotype of increased GALT activity in three different biochemical phenotypes ( LA / N , LA / G , and LA / D ) .","[""('LA', 'O')""]","[""('LA', 'B')""]",
NCBI,"In stage II colorectal carcinomas , the absence of DCC identifies a subgroup of patients with lesions that behave like stage III cancers .","[""('colorectal', 'I')""]","[""('colorectal', 'B')""]",
NCBI,"In the pediatric solid tumor alveolar rhabdomyosarcoma , a consistent t ( 2 ; 13 ) ( q35 ; q14 ) or variant t ( 1 ; 13 ) ( p36 ; q14 ) translocation generates PAX3 - FKHR or PAX7 - FKHR fusion proteins , respectively .","[""('pediatric', 'O')""]","[""('pediatric', 'B')""]",
NCBI,"Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .","[""('cancers', 'B')""]","[""('cancers', 'O')""]",
NCBI,Inherited mutant alleles of familial tumour suppressor genes predispose individuals to particular types of cancer .,"[""('familial', 'O')"", ""('tumour', 'B')""]","[""('familial', 'B')"", ""('tumour', 'I')""]",
NCBI,METHODS The expression of DCC was evaluated immunohistochemically in 132 paraffin - embedded samples from patients with curatively resected stage II and III colorectal carcinomas .,"[""('stage', 'B')"", ""('colorectal', 'I')""]","[""('stage', 'O')"", ""('colorectal', 'B')""]",
NCBI,Mutation analysis of BRCA1 and BRCA2 in a male breast cancer population .,"[""('male', 'B')"", ""('breast', 'I')""]","[""('male', 'O')"", ""('breast', 'B')""]",
NCBI,Mutation of the VHL gene is associated exclusively with the development of non - papillary renal cell carcinomas .,"[""('VHL', 'O')""]","[""('VHL', 'B')""]",
NCBI,"Mutations at the 5 end of APC are known to be associated with a relatively mild form of the disease , called attenuated adenomatous polyposis coli ( AAPC ) .","[""('APC', 'B')""]","[""('APC', 'O')""]",
NCBI,"Mutations in atm and p53 cause the human cancer - associated diseases ataxia - telangiectasia and Li - Fraumeni syndrome , respectively .","[""('-', 'I')"", ""('associated', 'I')""]","[""('-', 'O')"", ""('associated', 'O')""]",
NCBI,"Mutations in the WT1 gene were anticipated to explain the genetic basis of the childhood kidney cancer , Wilms tumour ( WT ) .","[""('childhood', 'O')"", ""('kidney', 'B')""]","[""('childhood', 'B')"", ""('kidney', 'I')""]",
NCBI,Myotonic dystrophy ( DM ) is commonly associated with CTG repeat expansions within the gene for DM - protein kinase ( DMPK ) .,"[""('DM', 'O')""]","[""('DM', 'B')""]",
NCBI,"No association was found between the presence of bilateral breast cancer or the number of breast cancers in a family and the detection of a BRCA1 mutation , or between the position of the mutation in the BRCA1 gene and the presence of ovarian cancer in a family .","[""('breast', 'B')""]","[""('breast', 'I')""]",
NCBI,No mobility shift was seen in any of the 23 chromophobe renal cell carcinomas .,"[""('chromophobe', 'O')"", ""('renal', 'B')""]","[""('chromophobe', 'B')"", ""('renal', 'I')""]",
NCBI,Nucleotide sequence analysis of a composite cDNA of LPP revealed an open reading frame of 1836 nucleotides encoding a proline - rich protein containing a leucine - zipper motif in its amino - terminal region and three LIM domains in its carboxy - terminal region .,"[""('LPP', 'O')""]","[""('LPP', 'B')""]",
NCBI,"Only one of the two male breast cancer patients carrying a BRCA2 mutation had a family history of cancer , with one case of ovarian cancer in a first - degree relative .","[""('male', 'B')"", ""('breast', 'I')""]","[""('male', 'O')"", ""('breast', 'B')""]",
NCBI,Our data support the hypothesis that ALD is a frequent cause of idiopathic Addisons disease in children and adults . .,"[""('idiopathic', 'O')"", ""('Addisons', 'B')""]","[""('idiopathic', 'B')"", ""('Addisons', 'I')""]",
NCBI,Our study indicates that chain - terminating mutations located in the 3 part of APC do not result in detectable truncated polypeptides and we hypothesize that this is likely to be the basis for the observed AAPC phenotype . .,"[""('APC', 'B')""]","[""('APC', 'O')""]",
NCBI,Pleiotropic defects in ataxia - telangiectasia protein - deficient mice .,"[""('protein', 'O')"", ""('-', 'O')"", ""('deficient', 'O')""]","[""('protein', 'I')"", ""('-', 'I')"", ""('deficient', 'I')""]",
NCBI,Prostate cancer is the second leading cause of male cancer deaths in the United States .,"[""('male', 'O')"", ""('cancer', 'B')""]","[""('male', 'B')"", ""('cancer', 'I')""]",
NCBI,"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","[""('androgen', 'O')"", ""('-', 'O')"", ""('dependent', 'O')"", ""('prostate', 'B')""]","[""('androgen', 'B')"", ""('-', 'I')"", ""('dependent', 'I')"", ""('prostate', 'I')""]",
NCBI,RESULTS The expression of DCC was a strong positive predictive factor for survival in both stage II and stage III colorectal carcinomas .,"[""('and', 'I')"", ""('stage', 'I')"", ""('colorectal', 'I')""]","[""('and', 'O')"", ""('stage', 'O')"", ""('colorectal', 'B')""]",
NCBI,"Ten of the possible 12 mutations in the five familial cases and five of the sporadic patients were found , all of which conformed to a functional outcome of haploinsufficiency .","[""('haploinsufficiency', 'O')""]","[""('haploinsufficiency', 'B')""]",
NCBI,"The 6174delT mutation in BRCA2 was recently identified as a frequent mutation in 8 out of 107 Ashkenazi Jewish women diagnosed with breast cancer by age 50 ( ref . 8 ) , as well as in three Ashkenazi male breast cancer patients .","[""('male', 'B')"", ""('breast', 'I')""]","[""('male', 'O')"", ""('breast', 'B')""]",
NCBI,"The C7 defect is more enigmatic the protein is of normal molecular weight , low circulating concentration , and altered isoelectric point .","[""('C7', 'O')"", ""('defect', 'O')""]","[""('C7', 'B')"", ""('defect', 'I')""]",
NCBI,"The DPC4 gene , which is located at 18q21 , has been identified as a tumor - suppressor gene from examination of pancreatic cancers .","[""('tumor', 'O')""]","[""('tumor', 'B')""]",
NCBI,The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"[""('Type', 'O')"", ""('II', 'O')"", ""('C2', 'O')""]","[""('Type', 'B')"", ""('II', 'I')"", ""('C2', 'I')""]",
NCBI,"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","[""('growth', 'O')"", ""('-', 'O')"", ""('retarded', 'O')""]","[""('growth', 'B')"", ""('-', 'I')"", ""('retarded', 'I')""]",
NCBI,"The low incidence of somatic mutations suggests that BRCA1 inactivation in sporadic tumors occurs by alternative mechanisms , such as interstitial chromosomal deletion or reduced transcription .","[""('sporadic', 'O')"", ""('tumors', 'B')""]","[""('sporadic', 'B')"", ""('tumors', 'I')""]",
NCBI,The mouse homolog of the Wiskott - Aldrich syndrome protein ( WASP ) gene is highly conserved and maps near the scurfy ( sf ) mutation on the X chromosome .,"[""('scurfy', 'O')"", ""('sf', 'O')""]","[""('scurfy', 'B')"", ""('sf', 'B')""]",
NCBI,The quantitative distribution of VHL mRNA within fetal tissues reflected that seen by in situ hybridization and the ratio of the two VHL isoforms was similar between tissues .,"[""('VHL', 'B')"", ""('VHL', 'B')""]","[""('VHL', 'O')"", ""('VHL', 'O')""]",
NCBI,These common mutations have an etiological role in many breast and ovarian cancer cases and provide the opportunity to examine genotype - phenotype correlations and genotype - environment interactions in individuals with the identical BRCA1 lesion .,"[""('BRCA1', 'O')"", ""('lesion', 'O')""]","[""('BRCA1', 'B')"", ""('lesion', 'I')""]",
NCBI,These results are significant not only in terms of their implications for furthering our understanding of galactosemia and GALT holoenzyme structure - function relationships but also because the system described may serve as a model for similar studies of other complexes composed of multiple subunits . .,"[""('GALT', 'O')""]","[""('GALT', 'B')""]",
NCBI,This VHL - responsive element is GC rich and specifically binds the transcription factor Sp1 in crude nuclear extracts .,"[""('VHL', 'O')""]","[""('VHL', 'B')""]",
NCBI,This agrees well with the fact that cardiac and muscle symptoms are characteristic for patients with VLCAD deficiency .,"[""('cardiac', 'O')"", ""('and', 'O')""]","[""('cardiac', 'B')"", ""('and', 'I')""]",
NCBI,This case may therefore be another example of aniridia caused by a position effect as recently described in two familial aniridia patients in which the phenotype cosegregated with chromosome abnormalities with 11p13 breakpoints . .,"[""('familial', 'B')"", ""('aniridia', 'I')""]","[""('familial', 'O')"", ""('aniridia', 'B')""]",
NCBI,This corresponds well to the previous assignment of the locus for the human alkaptonuria gene ( AKU ) to the same chromosomal region by multipoint linkage analysis .,"[""('AKU', 'O')""]","[""('AKU', 'B')""]",
NCBI,"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .","[""('cellular', 'O')"", ""('abnormalities', 'O')""]","[""('cellular', 'B')"", ""('abnormalities', 'I')""]",
NCBI,"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","[""('breast', 'O')"", ""('/', 'O')"", ""('ovarian', 'O')"", ""('tumorigenesis', 'O')""]","[""('breast', 'I')"", ""('/', 'I')"", ""('ovarian', 'I')"", ""('tumorigenesis', 'I')""]",
NCBI,"To determine the mechanism for increased activity of the LA variant , we compared GALT mRNA , protein abundance , and enzyme thermal stability in lymphoblast cell lines of D and LA phenotypes with comparable genotypes .","[""('D', 'O')""]","[""('D', 'B')""]",
NCBI,"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","[""('primary', 'O')"", ""('idiopathic', 'O')"", ""('adrenocortical', 'B')""]","[""('primary', 'B')"", ""('idiopathic', 'B')"", ""('adrenocortical', 'I')""]",
NCBI,Two male breast cancer patients ( 4 % of the total ) were found to carry novel truncating mutations in the BRCA2 gene .,"[""('male', 'B')"", ""('breast', 'I')""]","[""('male', 'O')"", ""('breast', 'B')""]",
NCBI,Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"[""('Type', 'B')"", ""('protein', 'I')"", ""('C2', 'I')""]","[""('Type', 'O')"", ""('protein', 'O')"", ""('C2', 'B')""]",
NCBI,"VEGF promoter - luciferase constructs were transiently cotransfected with a wild - type VHL ( wt - VHL ) vector in several cell lines , including 293 embryonic kidney and RCC cell lines .","[""('RCC', 'B')""]","[""('RCC', 'O')""]",
NCBI,"We found that DNA methylation within RB1 exons 8 , 14 , 25 , and 27 appeared to be restricted to CpGs , including six CGA codons .","[""('CpGs', 'O')""]","[""('CpGs', 'B')""]",
NCBI,We have therefore assessed the effect of the VHL gene product on VEGF expression .,"[""('VHL', 'O')""]","[""('VHL', 'B')""]",
NCBI,We hypothesize that the patient is heterozygous for a complete deficiency of C9 and for a gene directing hyposynthesis of a defective C9 .,"[""('complete', 'B')"", ""('deficiency', 'I')""]","[""('complete', 'O')"", ""('deficiency', 'B')""]",
NCBI,"We provide evidence that not only reduced , but also increased levels of transcriptional regulators can cause developmental defects . .","[""('developmental', 'B')"", ""('defects', 'I')""]","[""('developmental', 'O')"", ""('defects', 'O')""]",
NCBI,We report details of a family with classic Li - Fraumeni syndrome in which there is a mutation in codon 344 of the tumour suppressor gene TP53 .,"[""('classic', 'O')""]","[""('classic', 'B')""]",
NCBI,We studied a previously described Swiss family with inherited C9 deficiency .,"[""('inherited', 'B')"", ""('C9', 'I')""]","[""('inherited', 'O')"", ""('C9', 'B')""]",
NCBI,X - linked adrenoleukodystrophy is a frequent cause of idiopathic Addison ' s disease in young adult male patients .,"[""('idiopathic', 'O')"", ""('Addison', 'B')""]","[""('idiopathic', 'B')"", ""('Addison', 'I')""]",
NCBI,"atm and p53 cooperate in apoptosis and suppression of tumorigenesis , but not in resistance to acute radiation toxicity .","[""('acute', 'B')"", ""('radiation', 'I')"", ""('toxicity', 'I')""]","[""('acute', 'O')"", ""('radiation', 'O')"", ""('toxicity', 'O')""]",
NCBI,wt - VHL protein inhibited VEGF promoter activity in a dose - dependent manner up to 5 - to 10 - fold .,"[""('VHL', 'O')""]","[""('VHL', 'B')""]",
