Sentence,Gold,Pred,stanza_Pred
"Older age was associated with a greater risk of developing decreased renal function in both groups , but significantly more so in the enalapril group ( enalapril : risk ratio [ RR ] 1 . 42 per 10 years , 95 % confidence interval [ CI ] 1 . 32 - 1 . 52 with enalapril ; placebo : RR 1 . 18 , 95 % CI 1 . 12 - 1 . 25 ) .","('function', 'I')","('function', 'O')","[[('function', 'NOUN')]]"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('decreased', 'B')","('decreased', 'O')","[[('decreased', 'VERB')]]"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('renal', 'I')","('renal', 'O')","[[('renal', 'NOUN')]]"
"Diuretic therapy was likewise associated with a greater risk of decreased renal function in the enalapril group ( RR 1 . 89 , 95 % CI 1 . 70 - 2 . 08 ) than in the placebo group ( RR 1 . 35 , 95 % CI 1 . 09 - 1 . 66 ) .","('function', 'I')","('function', 'O')","[[('function', 'NOUN')]]"
"Conversely , enalapril had a relative renoprotective effect ( RR 1 . 33 , 95 % CI 1 . 13 - 1 . 53 ) compared with placebo ( RR 1 . 96 , 95 % CI 1 . 57 - 2 . 44 ) in patients with diabetes .","('diabetes', 'B')","('diabetes', 'O')","[[('diabetes', 'NOUN')]]"
Ocular manifestations of juvenile rheumatoid arthritis .,"('juvenile', 'B')","('juvenile', 'O')","[[('juvenile', 'ADJ')]]"
We followed 210 cases of juvenile rheumatoid arthritis closely for eleven years .,"('juvenile', 'B')","('juvenile', 'O')","[[('juvenile', 'ADJ')]]"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('posterior', 'O')","('posterior', 'B')","[[('posterior', 'NOUN')]]"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('subcapsular', 'O')","('subcapsular', 'I')","[[('subcapsular', 'NOUN')]]"
Systemically administered corticosteroids were used in 75 of 210 cases ; a significant number of posterior subcapsular cataracts was found .,"('cataracts', 'B')","('cataracts', 'I')","[[('cataracts', 'NOUN')]]"
"The main side effects of subcutaneous apomorphine treatment are related to cutaneous tolerability problems , whereas sedation and psychiatric complications play a lesser role .","('psychiatric', 'B')","('psychiatric', 'O')","[[('psychiatric', 'ADJ')]]"
"In the NASCIS , there was no mention regarding the possibility of acute corticosteroid myopathy that high - dose methylprednisolone may cause .","('corticosteroid', 'O')","('corticosteroid', 'I')","[[('corticosteroid', 'NOUN')]]"
"In the NASCIS , there was no mention regarding the possibility of acute corticosteroid myopathy that high - dose methylprednisolone may cause .","('myopathy', 'B')","('myopathy', 'I')","[[('myopathy', 'NOUN')]]"
"Further , steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy , instead of any protection that methylprednisolone offers to the spinal cord injury .","('steroid', 'O')","('steroid', 'B')","[[('steroid', 'NOUN')]]"
"Further , steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy , instead of any protection that methylprednisolone offers to the spinal cord injury .","('myopathy', 'B')","('myopathy', 'I')","[[('myopathy', 'NOUN')]]"
"Further , steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy , instead of any protection that methylprednisolone offers to the spinal cord injury .","('steroid', 'O')","('steroid', 'B')","[[('steroid', 'NOUN')]]"
"Further , steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy , instead of any protection that methylprednisolone offers to the spinal cord injury .","('myopathy', 'B')","('myopathy', 'I')","[[('myopathy', 'NOUN')]]"
"To our knowledge , this is the first discussion considering the possibility that the methylprednisolone recommended by NASCIS may cause acute corticosteroid myopathy .","('corticosteroid', 'O')","('corticosteroid', 'B')","[[('corticosteroid', 'NOUN')]]"
"To our knowledge , this is the first discussion considering the possibility that the methylprednisolone recommended by NASCIS may cause acute corticosteroid myopathy .","('myopathy', 'B')","('myopathy', 'I')","[[('myopathy', 'NOUN')]]"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn .,"('field', 'O')","('field', 'B')","[[('field', 'NOUN')]]"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn .,"('defects', 'O')","('defects', 'I')","[[('defects', 'NOUN')]]"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn .,"('electrophysiological', 'O')","('electrophysiological', 'B')","[[('electrophysiological', 'ADJ')]]"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn .,"('abnormalities', 'O')","('abnormalities', 'I')","[[('abnormalities', 'NOUN')]]"
PATIENTS : Twenty - two patients with known reversible perfusion defects .,"('perfusion', 'O')","('perfusion', 'B')","[[('perfusion', 'NOUN')]]"
PATIENTS : Twenty - two patients with known reversible perfusion defects .,"('defects', 'O')","('defects', 'I')","[[('defects', 'NOUN')]]"
Screening for stimulant use in adult emergency department seizure patients .,"('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
OBJECTIVE : The objective of this study was to determine the prevalence of positive plasma drug screening for cocaine or amphetamine in adult emergency department seizure patients .,"('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
METHODS : This prospective study evaluated consecutive eligible seizure patients who had a plasma sample collected as part of their clinical evaluation .,"('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
"CONCLUSIONS : During this study period , routine plasma screening for cocaine and amphetamines in adult seizure patients had a low yield .","('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
Rats were stratified into control groups and ADR - induced nephropathy groups .,"('ADR', 'O')","('ADR', 'B')","[[('ADR', 'PROPN')]]"
Urine nitrite levels were significantly increased in the ADR - nephropathy group ( P < 0 . 05 ) .,"('ADR', 'O')","('ADR', 'B')","[[('ADR', 'PROPN')]]"
Urine nitrite levels were significantly increased in the ADR - nephropathy group ( P < 0 . 05 ) .,"('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
Urine nitrite levels were significantly increased in the ADR - nephropathy group ( P < 0 . 05 ) .,"('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
In the IPRK phenylephrine and acetylcholine related responses were significantly impaired in the ADR - nephropathy group .,"('ADR', 'O')","('ADR', 'B')","[[('ADR', 'PROPN')]]"
In the IPRK phenylephrine and acetylcholine related responses were significantly impaired in the ADR - nephropathy group .,"('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
In the IPRK phenylephrine and acetylcholine related responses were significantly impaired in the ADR - nephropathy group .,"('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
"However , in the ADR - nephropathy group , numerous apoptotic cells were identified in the tubulointerstitial areas .","('ADR', 'O')","('ADR', 'B')","[[('ADR', 'PROPN')]]"
"However , in the ADR - nephropathy group , numerous apoptotic cells were identified in the tubulointerstitial areas .","('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
"However , in the ADR - nephropathy group , numerous apoptotic cells were identified in the tubulointerstitial areas .","('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
The renal pathology in a case of lithium - induced diabetes insipidus .,"('lithium', 'O')","('lithium', 'B')","[[('lithium', 'NOUN')]]"
The renal pathology in a case of lithium - induced diabetes insipidus .,"('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
The renal pathology in a case of lithium - induced diabetes insipidus .,"('induced', 'O')","('induced', 'I')","[[('induced', 'VERB')]]"
The renal pathology in a case of lithium - induced diabetes insipidus .,"('diabetes', 'B')","('diabetes', 'I')","[[('diabetes', 'NOUN')]]"
A case of lithium - induced diabetes insipidus is reported .,"('lithium', 'O')","('lithium', 'B')","[[('lithium', 'NOUN')]]"
"However , these other potential causes of seizure were ruled out .","('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('cutaneous', 'O')","('cutaneous', 'B')","[[('cutaneous', 'ADJ')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","(',', 'O')","(',', 'I')","[[(',', 'PUNCT')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('respiratory', 'O')","('respiratory', 'I')","[[('respiratory', 'ADJ')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('and', 'O')","('and', 'I')","[[('and', 'CCONJ')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('anaphylactoid', 'O')","('anaphylactoid', 'I')","[[('anaphylactoid', 'PROPN')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('reactions', 'O')","('reactions', 'I')","[[('reactions', 'NOUN')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('nonsteroidal', 'O')","('nonsteroidal', 'B')","[[('nonsteroidal', 'NOUN')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('anti', 'O')","('anti', 'I')","[[('anti', 'INTJ')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('inflammatory', 'O')","('inflammatory', 'I')","[[('inflammatory', 'ADJ')]]"
"Previous studies evaluated the tolerance of nimesulide and paracetamol in subjects with cutaneous , respiratory and anaphylactoid reactions induced by nonsteroidal anti - inflammatory drugs ( NSAIDs ) .","('NSAIDs', 'O')","('NSAIDs', 'B')","[[('NSAIDs', 'NOUN')]]"
"The purpose of this study was to screen for efficacy of a different formulation of adenosine marketed in the US , using both acute noxious stimulation and capsaicin - evoked mechanical hypersensitivity .","('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
"The purpose of this study was to screen for efficacy of a different formulation of adenosine marketed in the US , using both acute noxious stimulation and capsaicin - evoked mechanical hypersensitivity .","('hypersensitivity', 'B')","('hypersensitivity', 'I')","[[('hypersensitivity', 'NOUN')]]"
Delayed - onset heparin - induced thrombocytopenia .,"('heparin', 'O')","('heparin', 'B')","[[('heparin', 'NOUN')]]"
Delayed - onset heparin - induced thrombocytopenia .,"('induced', 'O')","('induced', 'I')","[[('induced', 'VERB')]]"
Delayed - onset heparin - induced thrombocytopenia .,"('thrombocytopenia', 'B')","('thrombocytopenia', 'I')","[[('thrombocytopenia', 'NOUN')]]"
Delayed recognition and treatment of heparin - induced thrombocytopenia contribute to poor patient outcomes .,"('heparin', 'O')","('heparin', 'B')","[[('heparin', 'NOUN')]]"
Delayed recognition and treatment of heparin - induced thrombocytopenia contribute to poor patient outcomes .,"('thrombocytopenia', 'B')","('thrombocytopenia', 'I')","[[('thrombocytopenia', 'NOUN')]]"
OBJECTIVE : To describe and increase awareness of a clinical scenario in which the onset or manifestations of heparin - induced thrombocytopenia are delayed .,"('heparin', 'O')","('heparin', 'B')","[[('heparin', 'NOUN')]]"
OBJECTIVE : To describe and increase awareness of a clinical scenario in which the onset or manifestations of heparin - induced thrombocytopenia are delayed .,"('thrombocytopenia', 'B')","('thrombocytopenia', 'I')","[[('thrombocytopenia', 'NOUN')]]"
CONCLUSIONS : Delayed - onset heparin - induced thrombocytopenia is increasingly being recognized .,"('heparin', 'O')","('heparin', 'B')","[[('heparin', 'NOUN')]]"
CONCLUSIONS : Delayed - onset heparin - induced thrombocytopenia is increasingly being recognized .,"('thrombocytopenia', 'B')","('thrombocytopenia', 'I')","[[('thrombocytopenia', 'NOUN')]]"
Activation of the nuclear enzyme poly ( ADP - ribose ) polymerase ( PARP ) by oxidant - mediated DNA damage is an important pathway of cell dysfunction and tissue injury in conditions associated with oxidative stress .,"('dysfunction', 'O')","('dysfunction', 'I')","[[('dysfunction', 'NOUN')]]"
Activation of the nuclear enzyme poly ( ADP - ribose ) polymerase ( PARP ) by oxidant - mediated DNA damage is an important pathway of cell dysfunction and tissue injury in conditions associated with oxidative stress .,"('tissue', 'O')","('tissue', 'B')","[[('tissue', 'NOUN')]]"
Activation of the nuclear enzyme poly ( ADP - ribose ) polymerase ( PARP ) by oxidant - mediated DNA damage is an important pathway of cell dysfunction and tissue injury in conditions associated with oxidative stress .,"('injury', 'O')","('injury', 'I')","[[('injury', 'NOUN')]]"
Ketamine in war / tropical surgery ( a final tribute to the racemic mixture ) .,"('war', 'O')","('war', 'B')","[[('war', 'NOUN')]]"
"A technique of continuous intravenous anaesthesia with ketamine was used successfully during the Somalia civil war in 1994 and in north Uganda in 1999 for 64 operations in 62 patients , aged from 6 weeks to 70 years , undergoing limb and abdominal surgery including caesarian sections and interventions in neonates .","('limb', 'O')","('limb', 'B')","[[('limb', 'NOUN')]]"
"A technique of continuous intravenous anaesthesia with ketamine was used successfully during the Somalia civil war in 1994 and in north Uganda in 1999 for 64 operations in 62 patients , aged from 6 weeks to 70 years , undergoing limb and abdominal surgery including caesarian sections and interventions in neonates .","('and', 'O')","('and', 'I')","[[('and', 'CCONJ')]]"
"A technique of continuous intravenous anaesthesia with ketamine was used successfully during the Somalia civil war in 1994 and in north Uganda in 1999 for 64 operations in 62 patients , aged from 6 weeks to 70 years , undergoing limb and abdominal surgery including caesarian sections and interventions in neonates .","('abdominal', 'O')","('abdominal', 'I')","[[('abdominal', 'ADJ')]]"
"A technique of continuous intravenous anaesthesia with ketamine was used successfully during the Somalia civil war in 1994 and in north Uganda in 1999 for 64 operations in 62 patients , aged from 6 weeks to 70 years , undergoing limb and abdominal surgery including caesarian sections and interventions in neonates .","('surgery', 'O')","('surgery', 'I')","[[('surgery', 'NOUN')]]"
Intravenous ribavirin treatment for severe adenovirus disease in immunocompromised children .,"('immunocompromised', 'O')","('immunocompromised', 'B')","[[('immunocompromised', 'ADJ')]]"
BACKGROUND : Adenovirus is an important cause of morbidity and mortality in the immunocompromised host .,"('Adenovirus', 'O')","('Adenovirus', 'B')","[[('Adenovirus', 'NOUN')]]"
BACKGROUND : Adenovirus is an important cause of morbidity and mortality in the immunocompromised host .,"('immunocompromised', 'O')","('immunocompromised', 'B')","[[('immunocompromised', 'ADJ')]]"
"The incidence of severe adenovirus disease in pediatrics is increasing in association with growing numbers of immunocompromised children , where case fatality rates as high as 50 % to 80 % have been reported .","('immunocompromised', 'O')","('immunocompromised', 'B')","[[('immunocompromised', 'ADJ')]]"
"There are no approved antiviral agents with proven efficacy for the treatment of severe adenovirus disease , nor are there any prospective randomized , controlled trials of potentially useful anti - adenovirus therapies .","('adenovirus', 'O')","('adenovirus', 'B')","[[('adenovirus', 'NOUN')]]"
OBJECTIVE : We report our experience with intravenous ribavirin therapy for severe adenovirus disease in a series of immunocompromised children and review the literature .,"('immunocompromised', 'O')","('immunocompromised', 'B')","[[('immunocompromised', 'ADJ')]]"
"DISCUSSION : Our series of patients is representative of the spectrum of immunocompromised children at greatest risk for severe adenovirus disease , namely solid - organ and bone marrow transplant recipients , neonates , and children with immunodeficiency .","('immunocompromised', 'O')","('immunocompromised', 'B')","[[('immunocompromised', 'ADJ')]]"
"Early identification , eg by polymerase chain reaction of those patients at risk of disseminated adenovirus disease may permit earlier antiviral treatment and better evaluation of therapeutic response .","('disseminated', 'O')","('disseminated', 'B')","[[('disseminated', 'VERB')]]"
"Early identification , eg by polymerase chain reaction of those patients at risk of disseminated adenovirus disease may permit earlier antiviral treatment and better evaluation of therapeutic response .","('adenovirus', 'B')","('adenovirus', 'I')","[[('adenovirus', 'NOUN')]]"
Low - molecular - weight heparin for the treatment of patients with mechanical heart valves .,"('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
Low - molecular - weight heparin for the treatment of patients with mechanical heart valves .,"('heart', 'O')","('heart', 'I')","[[('heart', 'NOUN')]]"
Low - molecular - weight heparin for the treatment of patients with mechanical heart valves .,"('valves', 'O')","('valves', 'I')","[[('valves', 'NOUN')]]"
"BACKGROUND : The interruption of oral anticoagulant ( OAC ) administration is sometimes indicated in patients with mechanical heart valves , mainly before noncardiac surgery , non - surgical interventions , and pregnancy .","('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
"BACKGROUND : The interruption of oral anticoagulant ( OAC ) administration is sometimes indicated in patients with mechanical heart valves , mainly before noncardiac surgery , non - surgical interventions , and pregnancy .","('heart', 'O')","('heart', 'I')","[[('heart', 'NOUN')]]"
"BACKGROUND : The interruption of oral anticoagulant ( OAC ) administration is sometimes indicated in patients with mechanical heart valves , mainly before noncardiac surgery , non - surgical interventions , and pregnancy .","('valves', 'O')","('valves', 'I')","[[('valves', 'NOUN')]]"
"METHODS : For this paper , the current medical literature on LMWH in patients with mechanical heart valves was extensively reviewed .","('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
"METHODS : For this paper , the current medical literature on LMWH in patients with mechanical heart valves was extensively reviewed .","('heart', 'O')","('heart', 'I')","[[('heart', 'NOUN')]]"
"METHODS : For this paper , the current medical literature on LMWH in patients with mechanical heart valves was extensively reviewed .","('valves', 'O')","('valves', 'I')","[[('valves', 'NOUN')]]"
"After excluding case reports , the following groups were constructed : ( a ) short - term administration , after valve insertion ( n = 212 ) ; ( b ) short - term , perioperative ( noncardiac ) / periprocedural ( n = 114 ) ; ( c ) long - term , due to intolerance to OAC ( n = 16 ) ; ( d ) long - term , in pregnancy ( n = 10 ) .","('intolerance', 'O')","('intolerance', 'B')","[[('intolerance', 'NOUN')]]"
"After excluding case reports , the following groups were constructed : ( a ) short - term administration , after valve insertion ( n = 212 ) ; ( b ) short - term , perioperative ( noncardiac ) / periprocedural ( n = 114 ) ; ( c ) long - term , due to intolerance to OAC ( n = 16 ) ; ( d ) long - term , in pregnancy ( n = 10 ) .","('to', 'O')","('to', 'I')","[[('to', 'PART')]]"
"After excluding case reports , the following groups were constructed : ( a ) short - term administration , after valve insertion ( n = 212 ) ; ( b ) short - term , perioperative ( noncardiac ) / periprocedural ( n = 114 ) ; ( c ) long - term , due to intolerance to OAC ( n = 16 ) ; ( d ) long - term , in pregnancy ( n = 10 ) .","('OAC', 'O')","('OAC', 'I')","[[('OAC', 'PROPN')]]"
"CONCLUSIONS : In patients with mechanical heart valves , short - term LMWH therapy compares favorably with UH .","('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
"CONCLUSIONS : In patients with mechanical heart valves , short - term LMWH therapy compares favorably with UH .","('heart', 'O')","('heart', 'I')","[[('heart', 'NOUN')]]"
"CONCLUSIONS : In patients with mechanical heart valves , short - term LMWH therapy compares favorably with UH .","('valves', 'O')","('valves', 'I')","[[('valves', 'NOUN')]]"
Further randomized studies are needed to confirm the safety and precise indications for the use of LMWH in patients with mechanical heart valves .,"('mechanical', 'O')","('mechanical', 'B')","[[('mechanical', 'ADJ')]]"
Further randomized studies are needed to confirm the safety and precise indications for the use of LMWH in patients with mechanical heart valves .,"('heart', 'O')","('heart', 'I')","[[('heart', 'NOUN')]]"
Further randomized studies are needed to confirm the safety and precise indications for the use of LMWH in patients with mechanical heart valves .,"('valves', 'O')","('valves', 'I')","[[('valves', 'NOUN')]]"
We interpret this as episodes of cardiac arrest caused by metoclopramide .,"('arrest', 'I')","('arrest', 'O')","[[('arrest', 'NOUN')]]"
A phase II study of thalidomide in advanced metastatic renal cell carcinoma .,"('advanced', 'O')","('advanced', 'B')","[[('advanced', 'ADJ')]]"
A phase II study of thalidomide in advanced metastatic renal cell carcinoma .,"('metastatic', 'O')","('metastatic', 'I')","[[('metastatic', 'ADJ')]]"
A phase II study of thalidomide in advanced metastatic renal cell carcinoma .,"('renal', 'B')","('renal', 'I')","[[('renal', 'NOUN')]]"
He developed acute liver failure with rapid deterioration of renal function .,"('renal', 'O')","('renal', 'I')","[[('renal', 'NOUN')]]"
He developed acute liver failure with rapid deterioration of renal function .,"('function', 'O')","('function', 'I')","[[('function', 'NOUN')]]"
Pyeloureteral filling defects associated with systemic anticoagulation : a case report .,"('Pyeloureteral', 'O')","('Pyeloureteral', 'B')","[[('Pyeloureteral', 'PROPN')]]"
Pyeloureteral filling defects associated with systemic anticoagulation : a case report .,"('filling', 'O')","('filling', 'I')","[[('filling', 'NOUN')]]"
Pyeloureteral filling defects associated with systemic anticoagulation : a case report .,"('defects', 'O')","('defects', 'I')","[[('defects', 'NOUN')]]"
A case is presented that is unique in that the acute onset and the rapid resolution of pyeloureteral filling defects in this patient were documented by radiography .,"('pyeloureteral', 'O')","('pyeloureteral', 'B')","[[('pyeloureteral', 'PROPN')]]"
A case is presented that is unique in that the acute onset and the rapid resolution of pyeloureteral filling defects in this patient were documented by radiography .,"('filling', 'O')","('filling', 'I')","[[('filling', 'NOUN')]]"
A case is presented that is unique in that the acute onset and the rapid resolution of pyeloureteral filling defects in this patient were documented by radiography .,"('defects', 'O')","('defects', 'I')","[[('defects', 'NOUN')]]"
The study involved 129 patients with diabetes with serum creatinine concentrations of 1 . 5 to 3 . 5 mg per deciliter who underwent coronary or aortofemoral angiography .,"('diabetes', 'B')","('diabetes', 'O')","[[('diabetes', 'NOUN')]]"
We report the clinical and bioptic findings for a 57 - year - old woman with severe chloroquine - induced myopathy .,"('chloroquine', 'O')","('chloroquine', 'B')","[[('chloroquine', 'NOUN')]]"
"As it revealed chloroquine - induced myopathy , medication was stopped .","('chloroquine', 'O')","('chloroquine', 'B')","[[('chloroquine', 'NOUN')]]"
