Sentence,Gold,Pred
"In 22 of the 43 non - papillary renal cell carcinomas , abnormally migrating DNA bands were detected by SSCP and / or HD analysis .","(('In', 'O'), ('22', 'O'), ('of', 'O'), ('the', 'O'), ('43', 'O'), ('non', 'B'), ('-', 'I'), ('papillary', 'I'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), (',', 'O'), ('abnormally', 'O'), ('migrating', 'O'), ('DNA', 'O'), ('bands', 'O'), ('were', 'O'), ('detected', 'O'), ('by', 'O'), ('SSCP', 'O'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('HD', 'O'), ('analysis', 'O'), ('.', 'O'))","(('In', 'O'), ('22', 'O'), ('of', 'O'), ('the', 'O'), ('43', 'O'), ('non', 'O'), ('-', 'O'), ('papillary', 'B'), ('renal', 'I'), ('cell', 'I'), ('carcinomas', 'I'), (',', 'O'), ('abnormally', 'O'), ('migrating', 'O'), ('DNA', 'O'), ('bands', 'O'), ('were', 'O'), ('detected', 'O'), ('by', 'O'), ('SSCP', 'O'), ('and', 'O'), ('/', 'O'), ('or', 'O'), ('HD', 'O'), ('analysis', 'O'), ('.', 'O'))"
"In yeast , mutations in several genes , including RTH and MSH3 , cause microsatellite instability .","(('In', 'O'), ('yeast', 'O'), (',', 'O'), ('mutations', 'O'), ('in', 'O'), ('several', 'O'), ('genes', 'O'), (',', 'O'), ('including', 'O'), ('RTH', 'O'), ('and', 'O'), ('MSH3', 'O'), (',', 'O'), ('cause', 'O'), ('microsatellite', 'O'), ('instability', 'O'), ('.', 'O'))","(('In', 'O'), ('yeast', 'O'), (',', 'O'), ('mutations', 'O'), ('in', 'O'), ('several', 'O'), ('genes', 'O'), (',', 'O'), ('including', 'O'), ('RTH', 'O'), ('and', 'O'), ('MSH3', 'O'), (',', 'O'), ('cause', 'O'), ('microsatellite', 'B'), ('instability', 'O'), ('.', 'O'))"
This cellular transformation in vitro will facilitate studies on the mechanism of PAX3 - FKHR - induced oncogenesis . .,"(('This', 'O'), ('cellular', 'O'), ('transformation', 'O'), ('in', 'O'), ('vitro', 'O'), ('will', 'O'), ('facilitate', 'O'), ('studies', 'O'), ('on', 'O'), ('the', 'O'), ('mechanism', 'O'), ('of', 'O'), ('PAX3', 'O'), ('-', 'O'), ('FKHR', 'O'), ('-', 'O'), ('induced', 'O'), ('oncogenesis', 'O'), ('.', 'O'), ('.', 'O'))","(('This', 'O'), ('cellular', 'O'), ('transformation', 'O'), ('in', 'O'), ('vitro', 'O'), ('will', 'O'), ('facilitate', 'O'), ('studies', 'O'), ('on', 'O'), ('the', 'O'), ('mechanism', 'O'), ('of', 'O'), ('PAX3', 'O'), ('-', 'O'), ('FKHR', 'O'), ('-', 'O'), ('induced', 'O'), ('oncogenesis', 'B'), ('.', 'O'), ('.', 'O'))"
In order to test this possibility we have analyzed four heterozygotes for class I G6PD mutations two with G6PD Portici ( 1178G - - > A ) and two with G6PD Bari ( 1187C - - > T ) .,"(('In', 'O'), ('order', 'O'), ('to', 'O'), ('test', 'O'), ('this', 'O'), ('possibility', 'O'), ('we', 'O'), ('have', 'O'), ('analyzed', 'O'), ('four', 'O'), ('heterozygotes', 'O'), ('for', 'O'), ('class', 'O'), ('I', 'O'), ('G6PD', 'O'), ('mutations', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Portici', 'O'), ('(', 'O'), ('1178G', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('A', 'O'), (')', 'O'), ('and', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Bari', 'O'), ('(', 'O'), ('1187C', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), (')', 'O'), ('.', 'O'))","(('In', 'O'), ('order', 'O'), ('to', 'O'), ('test', 'O'), ('this', 'O'), ('possibility', 'O'), ('we', 'O'), ('have', 'O'), ('analyzed', 'O'), ('four', 'O'), ('heterozygotes', 'O'), ('for', 'O'), ('class', 'O'), ('I', 'O'), ('G6PD', 'O'), ('mutations', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Portici', 'B'), ('(', 'O'), ('1178G', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('A', 'O'), (')', 'O'), ('and', 'O'), ('two', 'O'), ('with', 'O'), ('G6PD', 'O'), ('Bari', 'O'), ('(', 'O'), ('1187C', 'O'), ('-', 'O'), ('-', 'O'), ('>', 'O'), ('T', 'O'), (')', 'O'), ('.', 'O'))"
"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","(('The', 'O'), ('homozygous', 'O'), ('mutant', 'O'), ('(', 'O'), ('ATM', 'O'), ('-', 'O'), ('/', 'O'), ('-', 'O'), (')', 'O'), ('mice', 'O'), ('are', 'O'), ('viable', 'O'), (',', 'O'), ('growth', 'O'), ('-', 'O'), ('retarded', 'O'), (',', 'O'), ('and', 'O'), ('infertile', 'O'), ('.', 'O'))","(('The', 'O'), ('homozygous', 'O'), ('mutant', 'O'), ('(', 'O'), ('ATM', 'O'), ('-', 'O'), ('/', 'O'), ('-', 'O'), (')', 'O'), ('mice', 'O'), ('are', 'O'), ('viable', 'O'), (',', 'O'), ('growth', 'B'), ('-', 'I'), ('retarded', 'I'), (',', 'O'), ('and', 'O'), ('infertile', 'B'), ('.', 'O'))"
BACKGROUND Allelic loss of chromosome 18q predicts a poor outcome in patients with stage II colorectal cancer .,"(('BACKGROUND', 'O'), ('Allelic', 'O'), ('loss', 'O'), ('of', 'O'), ('chromosome', 'O'), ('18q', 'O'), ('predicts', 'O'), ('a', 'O'), ('poor', 'O'), ('outcome', 'O'), ('in', 'O'), ('patients', 'O'), ('with', 'O'), ('stage', 'B'), ('II', 'I'), ('colorectal', 'I'), ('cancer', 'I'), ('.', 'O'))","(('BACKGROUND', 'O'), ('Allelic', 'O'), ('loss', 'O'), ('of', 'O'), ('chromosome', 'O'), ('18q', 'O'), ('predicts', 'O'), ('a', 'O'), ('poor', 'O'), ('outcome', 'O'), ('in', 'O'), ('patients', 'O'), ('with', 'O'), ('stage', 'O'), ('II', 'O'), ('colorectal', 'B'), ('cancer', 'I'), ('.', 'O'))"
"To identify possible features of the BRCA1 genomic region that may contribute to chromosomal instability as well as potential transcriptional regulatory elements , a 117 , 143 - bp DNA sequence encompassing BRCA1 was obtained by random sequencing of four cosmids identified from a human chromosome 17 specific library .","(('To', 'O'), ('identify', 'O'), ('possible', 'O'), ('features', 'O'), ('of', 'O'), ('the', 'O'), ('BRCA1', 'O'), ('genomic', 'O'), ('region', 'O'), ('that', 'O'), ('may', 'O'), ('contribute', 'O'), ('to', 'O'), ('chromosomal', 'O'), ('instability', 'O'), ('as', 'O'), ('well', 'O'), ('as', 'O'), ('potential', 'O'), ('transcriptional', 'O'), ('regulatory', 'O'), ('elements', 'O'), (',', 'O'), ('a', 'O'), ('117', 'O'), (',', 'O'), ('143', 'O'), ('-', 'O'), ('bp', 'O'), ('DNA', 'O'), ('sequence', 'O'), ('encompassing', 'O'), ('BRCA1', 'O'), ('was', 'O'), ('obtained', 'O'), ('by', 'O'), ('random', 'O'), ('sequencing', 'O'), ('of', 'O'), ('four', 'O'), ('cosmids', 'O'), ('identified', 'O'), ('from', 'O'), ('a', 'O'), ('human', 'O'), ('chromosome', 'O'), ('17', 'O'), ('specific', 'O'), ('library', 'O'), ('.', 'O'))","(('To', 'O'), ('identify', 'O'), ('possible', 'O'), ('features', 'O'), ('of', 'O'), ('the', 'O'), ('BRCA1', 'O'), ('genomic', 'O'), ('region', 'O'), ('that', 'O'), ('may', 'O'), ('contribute', 'O'), ('to', 'O'), ('chromosomal', 'B'), ('instability', 'I'), ('as', 'O'), ('well', 'O'), ('as', 'O'), ('potential', 'O'), ('transcriptional', 'O'), ('regulatory', 'O'), ('elements', 'O'), (',', 'O'), ('a', 'O'), ('117', 'O'), (',', 'O'), ('143', 'O'), ('-', 'O'), ('bp', 'O'), ('DNA', 'O'), ('sequence', 'O'), ('encompassing', 'O'), ('BRCA1', 'O'), ('was', 'O'), ('obtained', 'O'), ('by', 'O'), ('random', 'O'), ('sequencing', 'O'), ('of', 'O'), ('four', 'O'), ('cosmids', 'O'), ('identified', 'O'), ('from', 'O'), ('a', 'O'), ('human', 'O'), ('chromosome', 'O'), ('17', 'O'), ('specific', 'O'), ('library', 'O'), ('.', 'O'))"
"The losses invariably involved the wild type allele derived from the unaffected parent , suggesting the inactivation of a tumor suppressor gene in this region","(('The', 'O'), ('losses', 'O'), ('invariably', 'O'), ('involved', 'O'), ('the', 'O'), ('wild', 'O'), ('type', 'O'), ('allele', 'O'), ('derived', 'O'), ('from', 'O'), ('the', 'O'), ('unaffected', 'O'), ('parent', 'O'), (',', 'O'), ('suggesting', 'O'), ('the', 'O'), ('inactivation', 'O'), ('of', 'O'), ('a', 'O'), ('tumor', 'B'), ('suppressor', 'O'), ('gene', 'O'), ('in', 'O'), ('this', 'O'), ('region', 'O'))","(('The', 'O'), ('losses', 'O'), ('invariably', 'O'), ('involved', 'O'), ('the', 'O'), ('wild', 'O'), ('type', 'O'), ('allele', 'O'), ('derived', 'O'), ('from', 'O'), ('the', 'O'), ('unaffected', 'O'), ('parent', 'O'), (',', 'O'), ('suggesting', 'O'), ('the', 'O'), ('inactivation', 'O'), ('of', 'O'), ('a', 'O'), ('tumor', 'O'), ('suppressor', 'O'), ('gene', 'O'), ('in', 'O'), ('this', 'O'), ('region', 'O'))"
"2 , a region proposed to contain tumor suppressor gene ( s ) , is mutated at high frequency in human breast cancer .","(('2', 'O'), (',', 'O'), ('a', 'O'), ('region', 'O'), ('proposed', 'O'), ('to', 'O'), ('contain', 'O'), ('tumor', 'B'), ('suppressor', 'O'), ('gene', 'O'), ('(', 'O'), ('s', 'O'), (')', 'O'), (',', 'O'), ('is', 'O'), ('mutated', 'O'), ('at', 'O'), ('high', 'O'), ('frequency', 'O'), ('in', 'O'), ('human', 'O'), ('breast', 'B'), ('cancer', 'I'), ('.', 'O'))","(('2', 'O'), (',', 'O'), ('a', 'O'), ('region', 'O'), ('proposed', 'O'), ('to', 'O'), ('contain', 'O'), ('tumor', 'O'), ('suppressor', 'O'), ('gene', 'O'), ('(', 'O'), ('s', 'O'), (')', 'O'), (',', 'O'), ('is', 'O'), ('mutated', 'O'), ('at', 'O'), ('high', 'O'), ('frequency', 'O'), ('in', 'O'), ('human', 'O'), ('breast', 'B'), ('cancer', 'I'), ('.', 'O'))"
The cDNA of mouse HGO has an overall identity of 41 % to the corresponding gene hmgA from Aspergillus .,"(('The', 'O'), ('cDNA', 'O'), ('of', 'O'), ('mouse', 'O'), ('HGO', 'O'), ('has', 'O'), ('an', 'O'), ('overall', 'O'), ('identity', 'O'), ('of', 'O'), ('41', 'O'), ('%', 'O'), ('to', 'O'), ('the', 'O'), ('corresponding', 'O'), ('gene', 'O'), ('hmgA', 'O'), ('from', 'O'), ('Aspergillus', 'O'), ('.', 'O'))","(('The', 'O'), ('cDNA', 'O'), ('of', 'O'), ('mouse', 'O'), ('HGO', 'O'), ('has', 'O'), ('an', 'O'), ('overall', 'O'), ('identity', 'O'), ('of', 'O'), ('41', 'O'), ('%', 'O'), ('to', 'O'), ('the', 'O'), ('corresponding', 'O'), ('gene', 'O'), ('hmgA', 'O'), ('from', 'O'), ('Aspergillus', 'B'), ('.', 'O'))"
"Mapping of homozygous deletions on human chromosome 10q23 has led to the isolation of a candidate tumor suppressor gene , PTEN , that appears to be mutated at considerable frequency in human cancers .","(('Mapping', 'O'), ('of', 'O'), ('homozygous', 'O'), ('deletions', 'O'), ('on', 'O'), ('human', 'O'), ('chromosome', 'O'), ('10q23', 'O'), ('has', 'O'), ('led', 'O'), ('to', 'O'), ('the', 'O'), ('isolation', 'O'), ('of', 'O'), ('a', 'O'), ('candidate', 'O'), ('tumor', 'B'), ('suppressor', 'O'), ('gene', 'O'), (',', 'O'), ('PTEN', 'O'), (',', 'O'), ('that', 'O'), ('appears', 'O'), ('to', 'O'), ('be', 'O'), ('mutated', 'O'), ('at', 'O'), ('considerable', 'O'), ('frequency', 'O'), ('in', 'O'), ('human', 'O'), ('cancers', 'B'), ('.', 'O'))","(('Mapping', 'O'), ('of', 'O'), ('homozygous', 'O'), ('deletions', 'O'), ('on', 'O'), ('human', 'O'), ('chromosome', 'O'), ('10q23', 'O'), ('has', 'O'), ('led', 'O'), ('to', 'O'), ('the', 'O'), ('isolation', 'O'), ('of', 'O'), ('a', 'O'), ('candidate', 'O'), ('tumor', 'O'), ('suppressor', 'O'), ('gene', 'O'), (',', 'O'), ('PTEN', 'O'), (',', 'O'), ('that', 'O'), ('appears', 'O'), ('to', 'O'), ('be', 'O'), ('mutated', 'O'), ('at', 'O'), ('considerable', 'O'), ('frequency', 'O'), ('in', 'O'), ('human', 'O'), ('cancers', 'B'), ('.', 'O'))"
