Sentence,Gold,Pred
441,"('torsadogenic', 'O')","('torsadogenic', 'B')"
443,"('neuronal', 'O')","('neuronal', 'B')"
445,"('neuronal', 'O')","('neuronal', 'B')"
449,"('neuronal', 'O')","('neuronal', 'B')"
465,"('tissue', 'O')","('tissue', 'B')"
470,"('depressed', 'O')","('depressed', 'B')"
477,"('epithelial', 'O')","('epithelial', 'I')"
478,"('tubular', 'O')","('tubular', 'B')"
483,"('nigra', 'O')","('nigra', 'I')"
485,"('penile', 'O')","('penile', 'B')"
487,"('the', 'O')","('the', 'I')"
502,"('LID', 'B')","('LID', 'O')"
503,"('LID', 'B')","('LID', 'O')"
505,"('LID', 'B')","('LID', 'O')"
506,"('LID', 'B')","('LID', 'O')"
509,"('LID', 'B')","('LID', 'O')"
514,"('behavioral', 'O')","('behavioral', 'B')"
519,"('oral', 'B')","('oral', 'O')"
525,"('abuse', 'O')","('abuse', 'B')"
527,"('flashbacks', 'O')","('flashbacks', 'B')"
542,"('operative', 'O')","('operative', 'B')"
545,"('Adenovirus', 'O')","('Adenovirus', 'B')"
547,"('adenovirus', 'O')","('adenovirus', 'B')"
549,"('adenovirus', 'O')","('adenovirus', 'B')"
587,"('rigor', 'O')","('rigor', 'B')"
589,"('-', 'O')","('-', 'I')"
633,"('drug', 'B')","('drug', 'O')"
635,"('Death', 'O')","('Death', 'B')"
638,"('filling', 'O')","('filling', 'I')"
663,"('cardiac', 'O')","('cardiac', 'B')"
671,"('tonic', 'O')","('tonic', 'B')"
679,"('inflammation', 'B')","('inflammation', 'O')"
683,"('inflammation', 'B')","('inflammation', 'O')"
692,"('neurobehavioral', 'O')","('neurobehavioral', 'B')"
705,"('malformation', 'O')","('malformation', 'B')"
717,"('loss', 'O')","('loss', 'B')"
749,"('episodes', 'I')","('episodes', 'O')"
778,"('-', 'O')","('-', 'I')"
779,"('impairment', 'O')","('impairment', 'B')"
780,"('drug', 'O')","('drug', 'B')"
786,"('extravascular', 'O')","('extravascular', 'B')"
787,"('hemolytic', 'O')","('hemolytic', 'B')"
811,"('glomerular', 'B')","('glomerular', 'O')"
825,"('impairments', 'O')","('impairments', 'B')"
847,"('immune', 'O')","('immune', 'I')"
875,"('thrombotic', 'B')","('thrombotic', 'I')"
876,"('cardiovascular', 'O')","('cardiovascular', 'B')"
878,"('cardiovascular', 'O')","('cardiovascular', 'B')"
884,"('and', 'O')","('and', 'I')"
892,"('excessive', 'O')","('excessive', 'B')"
905,"('deaths', 'O')","('deaths', 'B')"
921,"('axonal', 'O')","('axonal', 'B')"
924,"('impairs', 'O')","('impairs', 'I')"
930,"('loss', 'O')","('loss', 'B')"
934,"('toxic', 'O')","('toxic', 'B')"
938,"('hypoxia', 'B')","('hypoxia', 'O')"
941,"('hypoxia', 'B')","('hypoxia', 'I')"
964,"('perfusion', 'O')","('perfusion', 'B')"
965,"('myocardial', 'O')","('myocardial', 'B')"
966,"('perfusion', 'O')","('perfusion', 'B')"
967,"('perfusion', 'O')","('perfusion', 'B')"
969,"('partial', 'O')","('partial', 'B')"
970,"('perfusion', 'O')","('perfusion', 'B')"
971,"('stenosis', 'O')","('stenosis', 'B')"
975,"('aortic', 'B')","('aortic', 'O')"
980,"('low', 'B')","('low', 'I')"
984,"('psychiatric', 'B')","('psychiatric', 'O')"
1013,"('hepatitis', 'O')","('hepatitis', 'B')"
1022,"('toxicity', 'I')","('toxicity', 'B')"
1047,"('injury', 'O')","('injury', 'B')"
1073,"('brainstem', 'O')","('brainstem', 'B')"
1074,"('abnormal', 'O')","('abnormal', 'B')"
1077,"('abnormal', 'O')","('abnormal', 'B')"
1078,"('yawning', 'O')","('yawning', 'B')"
1082,"('abnormal', 'O')","('abnormal', 'B')"
1087,"('drug', 'B')","('drug', 'O')"
1089,"('malignant', 'O')","('malignant', 'B')"
1093,"('multiforme', 'O')","('multiforme', 'I')"
1103,"('irregularities', 'O')","('irregularities', 'I')"
1123,"('acute', 'B')","('acute', 'O')"
1135,"('infectious', 'O')","('infectious', 'B')"
1144,"('impaired', 'O')","('impaired', 'B')"
1145,"('performance', 'O')","('performance', 'B')"
1169,"('lesions', 'I')","('lesions', 'O')"
1173,"('MDMA', 'O')","('MDMA', 'B')"
1182,"('Cardiovascular', 'O')","('Cardiovascular', 'B')"
1186,"('cardiovascular', 'O')","('cardiovascular', 'B')"
1200,"('infected', 'B')","('infected', 'I')"
1201,"('Chronic', 'B')","('Chronic', 'O')"
1210,"('fetal', 'O')","('fetal', 'B')"
1218,"('Amphetamine', 'O')","('Amphetamine', 'B')"
1223,"('toxic', 'O')","('toxic', 'B')"
1227,"('vision', 'O')","('vision', 'I')"
1230,"('chiasmopathy', 'O')","('chiasmopathy', 'B')"
1232,"('disorientation', 'O')","('disorientation', 'B')"
1258,"('central', 'O')","('central', 'B')"
1262,"('toxic', 'O')","('toxic', 'B')"
1264,"('neurotoxicity', 'B')","('neurotoxicity', 'I')"
1269,"('alterations', 'O')","('alterations', 'B')"
1286,"('hepatitis', 'B')","('hepatitis', 'I')"
1287,"('virus', 'I')","('virus', 'O')"
1289,"('related', 'O')","('related', 'I')"
1295,"('hepatitis', 'O')","('hepatitis', 'B')"
1311,"('ICP', 'O')","('ICP', 'B')"
1317,"('Akathisia', 'O')","('Akathisia', 'B')"
1318,"('EPS', 'B')","('EPS', 'O')"
1319,"('EPS', 'B')","('EPS', 'O')"
1322,"('cerebellar', 'O')","('cerebellar', 'B')"
1329,"('cardiac', 'O')","('cardiac', 'B')"
1330,"('cardiac', 'O')","('cardiac', 'I')"
1332,"('focal', 'O')","('focal', 'B')"
1335,"('ischemic', 'B')","('ischemic', 'O')"
1337,"('ischemic', 'B')","('ischemic', 'O')"
1338,"('ischemic', 'B')","('ischemic', 'O')"
1349,"('decreased', 'O')","('decreased', 'B')"
1372,"('distended', 'O')","('distended', 'B')"
1375,"('and', 'O')","('and', 'I')"
1379,"('sinus', 'O')","('sinus', 'B')"
1382,"('neurologic', 'O')","('neurologic', 'B')"
1395,"('Addiction', 'O')","('Addiction', 'I')"
1407,"('overload', 'O')","('overload', 'B')"
1414,"('of', 'O')","('of', 'I')"
1421,"('parasites', 'O')","('parasites', 'B')"
1429,"('Delayed', 'O')","('Delayed', 'B')"
1431,"('-', 'O')","('-', 'I')"
1449,"('alcohol', 'B')","('alcohol', 'O')"
1451,"('in', 'O')","('in', 'I')"
1453,"('nerve', 'O')","('nerve', 'I')"
1463,"('Elevated', 'O')","('Elevated', 'B')"
1473,"('cardiovascular', 'I')","('cardiovascular', 'O')"
1514,"('CC', 'O')","('CC', 'B')"
1529,"('BP', 'O')","('BP', 'B')"
1535,"('headedness', 'O')","('headedness', 'I')"
1545,"('MRI', 'O')","('MRI', 'B')"
1556,"('decreases', 'O')","('decreases', 'B')"
1557,"('MRI', 'O')","('MRI', 'B')"
1558,"('adverse', 'O')","('adverse', 'B')"
1559,"('drug', 'O')","('drug', 'I')"
1561,"('ADR', 'O')","('ADR', 'B')"
1568,"('British', 'O')","('British', 'B')"
1587,"('cardioselective', 'O')","('cardioselective', 'B')"
1600,"('stroke', 'B')","('stroke', 'O')"
1604,"('stroke', 'B')","('stroke', 'O')"
1623,"('HIT', 'B')","('HIT', 'O')"
1626,"('hepatic', 'O')","('hepatic', 'B')"
1629,"('HIT', 'B')","('HIT', 'O')"
1638,"('DOX', 'O')","('DOX', 'B')"
1639,"('DOX', 'O')","('DOX', 'B')"
1642,"('focus', 'O')","('focus', 'I')"
1650,"('coronary', 'O')","('coronary', 'B')"
1663,"('deaths', 'O')","('deaths', 'B')"
1671,"('nonurologic', 'O')","('nonurologic', 'B')"
1679,"('bigeminy', 'O')","('bigeminy', 'B')"
1681,"('internal', 'O')","('internal', 'B')"
1683,"('adverse', 'O')","('adverse', 'B')"
1691,"('convulsing', 'O')","('convulsing', 'B')"
1698,"('toxicity', 'B')","('toxicity', 'O')"
1703,"('hearing', 'O')","('hearing', 'B')"
1709,"('segmental', 'B')","('segmental', 'O')"
1716,"('motor', 'O')","('motor', 'B')"
1739,"('critically', 'O')","('critically', 'B')"
1743,"('OSCS', 'O')","('OSCS', 'B')"
1748,"('abnormality', 'O')","('abnormality', 'I')"
1749,"('obstructive', 'O')","('obstructive', 'B')"
1754,"('W', 'O')","('W', 'B')"
1755,"('W', 'O')","('W', 'B')"
1756,"('hemorrhagic', 'O')","('hemorrhagic', 'B')"
1761,"('hemorrhagic', 'O')","('hemorrhagic', 'B')"
1762,"('hemorrhagic', 'O')","('hemorrhagic', 'B')"
1765,"('W', 'O')","('W', 'B')"
1766,"('W', 'O')","('W', 'B')"
1779,"('menopausal', 'O')","('menopausal', 'B')"
1784,"('alterations', 'O')","('alterations', 'B')"
1836,"('Hibiscus', 'O')","('Hibiscus', 'B')"
1837,"('orofacial', 'O')","('orofacial', 'B')"
1842,"('in', 'O')","('in', 'I')"
1843,"('orofacial', 'O')","('orofacial', 'B')"
1857,"('interstitial', 'O')","('interstitial', 'B')"
1863,"('decrease', 'O')","('decrease', 'B')"
1878,"('impairment', 'O')","('impairment', 'B')"
1879,"('term', 'O')","('term', 'I')"
1890,"('motor', 'O')","('motor', 'B')"
1896,"('stenosis', 'O')","('stenosis', 'B')"
1912,"('postoperative', 'O')","('postoperative', 'B')"
1921,"(',', 'O')","(',', 'I')"
1926,"('left', 'B')","('left', 'O')"
1934,"('infection', 'B')","('infection', 'O')"
1935,"('LP', 'O')","('LP', 'B')"
1942,"('peripheral', 'O')","('peripheral', 'B')"
1967,"('damage', 'O')","('damage', 'I')"
2000,"('fracture', 'O')","('fracture', 'B')"
2006,"('LES', 'O')","('LES', 'B')"
2007,"('Rosaceiform', 'O')","('Rosaceiform', 'B')"
2008,"('rosaceiform', 'O')","('rosaceiform', 'B')"
2013,"('tumor', 'B')","('tumor', 'O')"
2025,"('DA', 'O')","('DA', 'B')"
2027,"('brain', 'O')","('brain', 'B')"
2028,"('neurotoxicity', 'B')","('neurotoxicity', 'I')"
2029,"('Swallowing', 'O')","('Swallowing', 'B')"
2030,"('chest', 'O')","('chest', 'B')"
2040,"('decreases', 'O')","('decreases', 'B')"
2044,"('decreases', 'O')","('decreases', 'B')"
2051,"('freezing', 'O')","('freezing', 'B')"
2078,"('induced', 'O')","('induced', 'I')"
2092,"('fluency', 'O')","('fluency', 'I')"
2110,"('epileptic', 'B')","('epileptic', 'I')"
2112,"('epileptic', 'B')","('epileptic', 'I')"
2117,"('cortical', 'O')","('cortical', 'B')"
2119,"('epileptic', 'B')","('epileptic', 'I')"
2120,"('DBS', 'O')","('DBS', 'I')"
2125,"('renal', 'O')","('renal', 'B')"
2128,"('Central', 'O')","('Central', 'B')"
2129,"('central', 'O')","('central', 'B')"
2131,"('human', 'O')","('human', 'B')"
2132,"('immunodeficiency', 'B')","('immunodeficiency', 'I')"
2140,"('ascitis', 'O')","('ascitis', 'B')"
2151,"('cutaneous', 'O')","('cutaneous', 'B')"
2165,"('in', 'O')","('in', 'I')"
2173,"('node', 'O')","('node', 'I')"
2176,"('ischemic', 'B')","('ischemic', 'O')"
2186,"('HIV', 'O')","('HIV', 'B')"
2196,"('mother', 'O')","('mother', 'B')"
2197,"('-', 'O')","('-', 'I')"
2199,"('hepatitis', 'B')","('hepatitis', 'O')"
2206,"('nociceptive', 'O')","('nociceptive', 'B')"
2230,"('behavioral', 'O')","('behavioral', 'B')"
2234,"('behavioral', 'O')","('behavioral', 'B')"
2251,"('damage', 'O')","('damage', 'B')"
2254,"('loss', 'O')","('loss', 'B')"
2256,"('loss', 'O')","('loss', 'B')"
2263,"('increased', 'B')","('increased', 'O')"
2281,"('cerebral', 'O')","('cerebral', 'B')"
2290,"('-', 'O')","('-', 'I')"
2291,"('idiopathic', 'O')","('idiopathic', 'B')"
2293,"('disorder', 'O')","('disorder', 'I')"
2314,"('respiratory', 'B')","('respiratory', 'O')"
2318,"('decrease', 'O')","('decrease', 'B')"
2340,"('increases', 'O')","('increases', 'B')"
2347,"('decrease', 'O')","('decrease', 'B')"
2355,"('shrinkage', 'O')","('shrinkage', 'I')"
2371,"('microangiopathic', 'O')","('microangiopathic', 'B')"
2373,"('idiopathic', 'O')","('idiopathic', 'B')"
2379,"('increase', 'O')","('increase', 'B')"
2381,"('flaccid', 'O')","('flaccid', 'B')"
2394,"('carcinogenic', 'B')","('carcinogenic', 'O')"
2396,"('hyperplastic', 'O')","('hyperplastic', 'B')"
2397,"('forestomach', 'B')","('forestomach', 'O')"
2429,"('headache', 'I')","('headache', 'B')"
2441,"('depression', 'B')","('depression', 'I')"
2443,"('fulminant', 'O')","('fulminant', 'B')"
2445,"('fulminant', 'O')","('fulminant', 'B')"
2448,"('fulminant', 'O')","('fulminant', 'B')"
2467,"('ISG', 'O')","('ISG', 'B')"
2471,"('type', 'B')","('type', 'O')"
2476,"('immunocompromised', 'O')","('immunocompromised', 'B')"
2483,"('Tubular', 'O')","('Tubular', 'B')"
2484,"('Proximal', 'O')","('Proximal', 'B')"
2485,"('proximal', 'O')","('proximal', 'B')"
2489,"('Postpartum', 'O')","('Postpartum', 'B')"
2499,"('coronary', 'B')","('coronary', 'I')"
2502,"('essential', 'O')","('essential', 'B')"
2509,"('sinus', 'O')","('sinus', 'B')"
2511,"('psychiatric', 'B')","('psychiatric', 'O')"
2513,"('thoraco', 'O')","('thoraco', 'B')"
2526,"('optic', 'O')","('optic', 'B')"
2536,"('Schumacher', 'O')","('Schumacher', 'B')"
2548,"('delayed', 'O')","('delayed', 'B')"
2550,"('delayed', 'O')","('delayed', 'B')"
2553,"('cardiac', 'O')","('cardiac', 'B')"
2558,"('prostate', 'O')","('prostate', 'B')"
2570,"('degeneration', 'O')","('degeneration', 'B')"
2572,"('muscles', 'O')","('muscles', 'I')"
2580,"('neoplastic', 'O')","('neoplastic', 'B')"
2581,"('enlargement', 'O')","('enlargement', 'B')"
2582,"('of', 'O')","('of', 'I')"
2583,"('Transient', 'O')","('Transient', 'B')"
2587,"('DPH', 'O')","('DPH', 'B')"
2596,"('active', 'O')","('active', 'B')"
2601,"('Arterial', 'O')","('Arterial', 'B')"
2602,"('Arterial', 'O')","('Arterial', 'B')"
2603,"('distal', 'O')","('distal', 'B')"
2604,"('occlusion', 'O')","('occlusion', 'B')"
2640,"('gastric', 'O')","('gastric', 'B')"
2641,"('hypersecretion', 'O')","('hypersecretion', 'I')"
2643,"('acid', 'O')","('acid', 'B')"
2645,"('breast', 'O')","('breast', 'B')"
2647,"('hypersecretory', 'O')","('hypersecretory', 'B')"
2656,"('foci', 'O')","('foci', 'I')"
2688,"('thalamotomy', 'O')","('thalamotomy', 'B')"
2731,"('deaths', 'O')","('deaths', 'B')"
2752,"('elevation', 'O')","('elevation', 'B')"
2766,"('airway', 'O')","('airway', 'B')"
2771,"('obstruction', 'O')","('obstruction', 'B')"
2776,"('cardiotoxin', 'O')","('cardiotoxin', 'B')"
2777,"('valve', 'O')","('valve', 'I')"
2789,"('clonic', 'B')","('clonic', 'O')"
2791,"('clonic', 'B')","('clonic', 'O')"
2792,"('clonic', 'B')","('clonic', 'O')"
2800,"('PVC', 'O')","('PVC', 'B')"
2810,"('engorgement', 'O')","('engorgement', 'I')"
2812,"('veno', 'O')","('veno', 'B')"
2841,"('EPS', 'O')","('EPS', 'B')"
2842,"('Deaths', 'O')","('Deaths', 'B')"
2857,"('abnormally', 'O')","('abnormally', 'I')"
2859,"('Performance', 'O')","('Performance', 'B')"
2860,"('damage', 'O')","('damage', 'I')"
2861,"('CM', 'B')","('CM', 'O')"
2862,"('fulminant', 'O')","('fulminant', 'B')"
2875,"('in', 'I')","('in', 'O')"
2882,"('ill', 'O')","('ill', 'I')"
2912,"('inflammatory', 'B')","('inflammatory', 'O')"
2916,"('toxic', 'O')","('toxic', 'B')"
2923,"('ammonia', 'O')","('ammonia', 'B')"
2928,"('allergic', 'O')","('allergic', 'B')"
2929,"('Halothane', 'O')","('Halothane', 'B')"
2930,"('halothane', 'O')","('halothane', 'B')"
2935,"('halothane', 'O')","('halothane', 'B')"
2937,"('toxicity', 'B')","('toxicity', 'I')"
2938,"('cholinergic', 'O')","('cholinergic', 'B')"
2939,"('depressed', 'O')","('depressed', 'B')"
2957,"('Incomplete', 'O')","('Incomplete', 'B')"
2958,"('ischemia', 'B')","('ischemia', 'O')"
2963,"('ischemic', 'B')","('ischemic', 'O')"
2979,"('micturition', 'O')","('micturition', 'B')"
2983,"('urge', 'O')","('urge', 'B')"
3000,"('addiction', 'O')","('addiction', 'B')"
3002,"('DM', 'O')","('DM', 'B')"
3003,"('abuse', 'O')","('abuse', 'B')"
3005,"('chronic', 'O')","('chronic', 'B')"
3007,"('obstructive', 'O')","('obstructive', 'B')"
3008,"('chronic', 'O')","('chronic', 'B')"
3012,"('increase', 'O')","('increase', 'B')"
3023,"('increase', 'O')","('increase', 'B')"
3028,"('Auditory', 'O')","('Auditory', 'B')"
3035,"('hearing', 'O')","('hearing', 'B')"
3041,"('human', 'O')","('human', 'B')"
3047,"('acute', 'O')","('acute', 'B')"
3050,"('fibrillations', 'O')","('fibrillations', 'B')"
3053,"('arterial', 'O')","('arterial', 'B')"
3055,"('syndrome', 'O')","('syndrome', 'I')"
3076,"('movements', 'O')","('movements', 'I')"
3077,"('movements', 'O')","('movements', 'I')"
3078,"('movements', 'O')","('movements', 'I')"
3092,"('photosensitivity', 'O')","('photosensitivity', 'B')"
3105,"('behavioural', 'O')","('behavioural', 'B')"
3116,"('haematological', 'O')","('haematological', 'B')"
3120,"('symptoms', 'I')","('symptoms', 'O')"
3129,"('Neuropathic', 'O')","('Neuropathic', 'B')"
3137,"('degeneration', 'I')","('degeneration', 'O')"
3158,"('polymorphic', 'O')","('polymorphic', 'B')"
3180,"('venous', 'B')","('venous', 'O')"
3182,"('venous', 'B')","('venous', 'O')"
3183,"('cord', 'O')","('cord', 'I')"
3190,"('aluminum', 'O')","('aluminum', 'B')"
3192,"('hyperplastic', 'O')","('hyperplastic', 'B')"
3201,"('increase', 'B')","('increase', 'O')"
3202,"('reduction', 'O')","('reduction', 'B')"
3205,"('malignant', 'O')","('malignant', 'B')"
3206,"('malignant', 'O')","('malignant', 'B')"
3216,"('pressure', 'O')","('pressure', 'I')"
3232,"('impairment', 'O')","('impairment', 'B')"
3233,"('impairment', 'O')","('impairment', 'B')"
3239,"('left', 'O')","('left', 'B')"
3240,"('frontal', 'O')","('frontal', 'I')"
3242,"('and', 'I')","('and', 'O')"
3273,"('tetanic', 'B')","('tetanic', 'O')"
3277,"('respiratory', 'O')","('respiratory', 'B')"
3284,"('the', 'I')","('the', 'O')"
3301,"('choleretic', 'O')","('choleretic', 'B')"
3305,"('hepatitis', 'B')","('hepatitis', 'I')"
3311,"('Nightmares', 'O')","('Nightmares', 'B')"
3312,"('pain', 'B')","('pain', 'I')"
3314,"('malignant', 'O')","('malignant', 'I')"
3321,"('QRS', 'O')","('QRS', 'B')"
3324,"('QRS', 'O')","('QRS', 'B')"
3330,"('essential', 'O')","('essential', 'B')"
3348,"('jerking', 'O')","('jerking', 'B')"
3351,"('tremulous', 'O')","('tremulous', 'B')"
3355,"('neuromuscular', 'O')","('neuromuscular', 'B')"
3359,"('transitional', 'O')","('transitional', 'B')"
3375,"('low', 'O')","('low', 'B')"
3384,"('movements', 'O')","('movements', 'I')"
3387,"('movements', 'O')","('movements', 'I')"
3388,"('myopic', 'O')","('myopic', 'B')"
3392,"('myopic', 'O')","('myopic', 'B')"
3396,"('Myopic', 'O')","('Myopic', 'B')"
3400,"('ALF', 'B')","('ALF', 'O')"
3425,"('limbic', 'O')","('limbic', 'B')"
3427,"('limbic', 'O')","('limbic', 'B')"
3429,"('motor', 'O')","('motor', 'B')"
3430,"('limbic', 'O')","('limbic', 'B')"
3431,"('limbic', 'O')","('limbic', 'B')"
3434,"('acute', 'O')","('acute', 'B')"
3446,"('stereotypy', 'O')","('stereotypy', 'B')"
3452,"('gynecologic', 'O')","('gynecologic', 'B')"
3477,"('hypernatraemic', 'O')","('hypernatraemic', 'B')"
3483,"('AChE', 'O')","('AChE', 'B')"
3531,"('hyperactivity', 'O')","('hyperactivity', 'B')"
3534,"('cranial', 'O')","('cranial', 'B')"
3535,"('without', 'O')","('without', 'I')"
3539,"('Increases', 'O')","('Increases', 'B')"
3540,"('acute', 'O')","('acute', 'B')"
3541,"('trigeminal', 'O')","('trigeminal', 'B')"
3554,"('overactivation', 'O')","('overactivation', 'I')"
3557,"('parkinsonian', 'B')","('parkinsonian', 'I')"
3563,"('Haemophilus', 'O')","('Haemophilus', 'B')"
3567,"('M', 'O')","('M', 'B')"
3571,"('Cancer', 'O')","('Cancer', 'B')"
3586,"('MMG', 'O')","('MMG', 'B')"
3601,"('predominant', 'O')","('predominant', 'I')"
3613,"('deaths', 'O')","('deaths', 'B')"
3616,"('deaths', 'O')","('deaths', 'B')"
3621,"('deaths', 'O')","('deaths', 'B')"
3632,"('hemorrhagic', 'O')","('hemorrhagic', 'B')"
3646,"('olig', 'O')","('olig', 'B')"
3653,"('toxic', 'O')","('toxic', 'B')"
3658,"('decrease', 'O')","('decrease', 'B')"
3686,"('OD', 'O')","('OD', 'B')"
3688,"('OD', 'O')","('OD', 'B')"
3689,"('OD', 'O')","('OD', 'B')"
3690,"('TD', 'O')","('TD', 'B')"
3702,"('heart', 'O')","('heart', 'B')"
3705,"('swelling', 'B')","('swelling', 'O')"
3707,"('mitochondrial', 'B')","('mitochondrial', 'O')"
