Data,Sentence,Gold,Pred,FP,FN,Overlap
NCBI,CONCLUSIONS DCC is a prognostic marker in patients with stage II or stage III colorectal cancer .,['colorectal'],['colorectal'],[],[],['colorectal']
NCBI,"CONCLUSIONS The DPC4 gene may play a role as a tumor - suppressor gene in a fraction of colorectal cancers ; however , while allelic loss at 18q21 is very often seen in colorectal cancers , only a minority show DPC4 mutations , suggesting that there might be another tumor - suppressor gene in this chromosome region . .","['-', '-']","['tumor', 'tumor']","['tumor', 'tumor']",[],[]
NCBI,"Chromosomal locations of the Atm ( ataxia - telangiectasia ( AT ) - mutated ) and Acat1 ( mitochondrial acetoacetyl - CoA thiolase ) genes in mouse , rat , and Syrian hamster were determined by direct R - banding FISH .",['AT'],['-'],[],['AT'],[]
NCBI,Chromosome 3p deletion was detected in 98 per cent of non - papillary renal cell carcinomas and in 25 per cent of chromophobe renal cell carcinomas .,"['-', 'renal']","['chromophobe', 'renal']",['chromophobe'],[],['renal']
NCBI,Classical phenylketonuria ( PKU ) is an autosomal recessive disorder caused by a deficiency of hepatic phenylalanine hydroxylase ( PAH ) .,"['-', 'phenylketonuria']","['Classical', 'phenylketonuria']",['Classical'],[],['phenylketonuria']
NCBI,DGGE detected 59 of the 60 classical galactosemia alleles .,"['-', 'galactosemia']","['classical', 'galactosemia']",['classical'],[],['galactosemia']
NCBI,Definition of the genetic events that trigger apoptosis in the prostate could provide important insights into critical pathways in normal development as well as elucidate the perturbations of those key pathways in neoplastic transformation .,['-'],['neoplastic'],['neoplastic'],[],[]
NCBI,Deletion analysis defined a 144 - bp region of the VEGF promoter necessary for VHL repression .,['-'],['VHL'],['VHL'],[],[]
NCBI,"Dmpk - / - mice develop a late - onset , progressive skeletal myopathy that shares some pathological features with DM .","['progressive', 'skeletal']","['-', 'skeletal']",[],['progressive'],['skeletal']
NCBI,FISH studies in a patient with sporadic aniridia and t ( 7 ; 11 ) ( q31 . 2 ; p13 ) .,"['sporadic', 'aniridia']","['-', 'aniridia']",[],['sporadic'],['aniridia']
NCBI,"Finally , this report provides a widely applicable strategy which ensures fast and effective screening for intronic defects that underlie differential gene expression . .","['-', '-']","['intronic', 'defects']","['intronic', 'defects']",[],[]
NCBI,"Finally - and in contrast to prior predictions - atm and p53 do not appear to interact in acute radiation toxicity , suggesting a separate atm effector pathway for this DNA damage response and having implications for the prognosis and treatment of human tumours . .","['acute', 'radiation', 'toxicity']","['-', '-', '-']",[],"['acute', 'radiation', 'toxicity']",[]
NCBI,Fine genetic linkage mapping of the mouse AT region was performed using the interspecific backcross mice .,['AT'],['-'],[],['AT'],[]
NCBI,"Furthermore , endogenous VEGF mRNA levels were suppressed in permanent RCC cell lines expressing wt - VHL , and nuclear run - on studies indicated that VHL regulation of VEGF occurs at least partly at the transcriptional level .","['RCC', '-']","['-', 'VHL']",['VHL'],['RCC'],[]
NCBI,Germline mutations in the 3 ' part of APC exon 15 do not result in truncated proteins and are associated with attenuated adenomatous polyposis coli .,"['-', 'adenomatous']","['attenuated', 'adenomatous']",['attenuated'],[],['adenomatous']
NCBI,HPRT - deficient mice generated using mouse embryonic stem cells exhibit none of the behavioral symptoms associated with the Lesch - Nyhan syndrome .,"['HPRT', '-*']","['-', '-']",[],"['HPRT', '-']",[]
NCBI,"However , both models lack other frequent DM symptoms including the fibre - type dependent atrophy , myotonia , cataract and male - infertility .","['-', '-', '-', '-', 'atrophy']","['fibre', '-', 'type', 'dependent', 'atrophy']","['fibre', '-', 'type', 'dependent']",[],['atrophy']
NCBI,"However , these mutations are uncommon in the population and they probably account for only a few percent of all breast cancer incidence .",['cancer'],['-'],[],['cancer'],[]
NCBI,"In all three cases , there is a strong family history of breast , ovarian , or other cancers possibly related to a BRCA1 defect and family members showed a high concordance of cancer incidence with the presence of R841W .","['-', '-']","['BRCA1', 'defect']","['BRCA1', 'defect']",[],[]
NCBI,"In contrast , a vector derived from a recombinant adenovirus can restore 10 % - 80 % of normal hepatic PAH activity into PAH - deficient mice , which completely normalizes serum phenylalanine levels .","['PAH', '-*', 'deficient']","['-', '-', '-']",[],"['PAH', '-', 'deficient']",[]
NCBI,"In patients with stage II disease whose tumors expressed DCC , the five - year survival rate was 94 .","['-', '-', '-']","['stage', 'II', 'disease']","['stage', 'II', 'disease']",[],[]
NCBI,"In patients with stage III disease , the respective survival rates were 59 .",['disease'],['-'],[],['disease'],[]
NCBI,"In pedigree analyses , this 1721C - - > T transition segregated with the LA phenotype of increased GALT activity in three different biochemical phenotypes ( LA / N , LA / G , and LA / D ) .",['-'],['LA'],['LA'],[],[]
NCBI,"In stage II colorectal carcinomas , the absence of DCC identifies a subgroup of patients with lesions that behave like stage III cancers .",['colorectal'],['colorectal'],[],[],['colorectal']
NCBI,"In the pediatric solid tumor alveolar rhabdomyosarcoma , a consistent t ( 2 ; 13 ) ( q35 ; q14 ) or variant t ( 1 ; 13 ) ( p36 ; q14 ) translocation generates PAX3 - FKHR or PAX7 - FKHR fusion proteins , respectively .",['-'],['pediatric'],['pediatric'],[],[]
NCBI,"Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .",['cancers'],['-'],[],['cancers'],[]
NCBI,Inherited mutant alleles of familial tumour suppressor genes predispose individuals to particular types of cancer .,"['-', 'tumour']","['familial', 'tumour']",['familial'],[],['tumour']
NCBI,METHODS The expression of DCC was evaluated immunohistochemically in 132 paraffin - embedded samples from patients with curatively resected stage II and III colorectal carcinomas .,"['stage', 'colorectal']","['-', 'colorectal']",[],['stage'],['colorectal']
NCBI,Mutation analysis of BRCA1 and BRCA2 in a male breast cancer population .,"['male', 'breast']","['-', 'breast']",[],['male'],['breast']
NCBI,Mutation of the VHL gene is associated exclusively with the development of non - papillary renal cell carcinomas .,['-'],['VHL'],['VHL'],[],[]
NCBI,"Mutations at the 5 end of APC are known to be associated with a relatively mild form of the disease , called attenuated adenomatous polyposis coli ( AAPC ) .",['APC'],['-'],[],['APC'],[]
NCBI,"Mutations in atm and p53 cause the human cancer - associated diseases ataxia - telangiectasia and Li - Fraumeni syndrome , respectively .","['-*', 'associated']","['-', '-']",[],"['-', 'associated']",[]
NCBI,"Mutations in the WT1 gene were anticipated to explain the genetic basis of the childhood kidney cancer , Wilms tumour ( WT ) .","['-', 'kidney']","['childhood', 'kidney']",['childhood'],[],['kidney']
NCBI,Myotonic dystrophy ( DM ) is commonly associated with CTG repeat expansions within the gene for DM - protein kinase ( DMPK ) .,['-'],['DM'],['DM'],[],[]
NCBI,"No association was found between the presence of bilateral breast cancer or the number of breast cancers in a family and the detection of a BRCA1 mutation , or between the position of the mutation in the BRCA1 gene and the presence of ovarian cancer in a family .",['breast'],['breast'],[],[],['breast']
NCBI,No mobility shift was seen in any of the 23 chromophobe renal cell carcinomas .,"['-', 'renal']","['chromophobe', 'renal']",['chromophobe'],[],['renal']
NCBI,Nucleotide sequence analysis of a composite cDNA of LPP revealed an open reading frame of 1836 nucleotides encoding a proline - rich protein containing a leucine - zipper motif in its amino - terminal region and three LIM domains in its carboxy - terminal region .,['-'],['LPP'],['LPP'],[],[]
NCBI,"Only one of the two male breast cancer patients carrying a BRCA2 mutation had a family history of cancer , with one case of ovarian cancer in a first - degree relative .","['male', 'breast']","['-', 'breast']",[],['male'],['breast']
NCBI,Our data support the hypothesis that ALD is a frequent cause of idiopathic Addisons disease in children and adults . .,"['-', 'Addisons']","['idiopathic', 'Addisons']",['idiopathic'],[],['Addisons']
NCBI,Our study indicates that chain - terminating mutations located in the 3 part of APC do not result in detectable truncated polypeptides and we hypothesize that this is likely to be the basis for the observed AAPC phenotype . .,['APC'],['-'],[],['APC'],[]
NCBI,Pleiotropic defects in ataxia - telangiectasia protein - deficient mice .,"['-', '-', '-']","['protein', '-', 'deficient']","['protein', '-', 'deficient']",[],[]
NCBI,Prostate cancer is the second leading cause of male cancer deaths in the United States .,"['-', 'cancer']","['male', 'cancer']",['male'],[],['cancer']
NCBI,"Prostate secretory epithelial cells and androgen - dependent prostate carcinomas undergo apoptosis in response to androgen deprivation and , furthermore , most prostate carcinomas become androgen independent and refractory to further therapeutic manipulations during disease progression .","['-', '-', '-', 'prostate']","['androgen', '-', 'dependent', 'prostate']","['androgen', '-', 'dependent']",[],['prostate']
NCBI,RESULTS The expression of DCC was a strong positive predictive factor for survival in both stage II and stage III colorectal carcinomas .,"['and', 'stage', 'colorectal']","['-', '-', 'colorectal']",[],"['and', 'stage']",['colorectal']
NCBI,"Ten of the possible 12 mutations in the five familial cases and five of the sporadic patients were found , all of which conformed to a functional outcome of haploinsufficiency .",['-'],['haploinsufficiency'],['haploinsufficiency'],[],[]
NCBI,"The 6174delT mutation in BRCA2 was recently identified as a frequent mutation in 8 out of 107 Ashkenazi Jewish women diagnosed with breast cancer by age 50 ( ref . 8 ) , as well as in three Ashkenazi male breast cancer patients .","['male', 'breast']","['-', 'breast']",[],['male'],['breast']
NCBI,"The C7 defect is more enigmatic the protein is of normal molecular weight , low circulating concentration , and altered isoelectric point .","['-', '-']","['C7', 'defect']","['C7', 'defect']",[],[]
NCBI,"The DPC4 gene , which is located at 18q21 , has been identified as a tumor - suppressor gene from examination of pancreatic cancers .",['-'],['tumor'],['tumor'],[],[]
NCBI,The Type II C2 null allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,"['-', '-', '-']","['Type', 'II', 'C2']","['Type', 'II', 'C2']",[],[]
NCBI,"The homozygous mutant ( ATM - / - ) mice are viable , growth - retarded , and infertile .","['-', '-', '-']","['growth', '-', 'retarded']","['growth', '-', 'retarded']",[],[]
NCBI,"The low incidence of somatic mutations suggests that BRCA1 inactivation in sporadic tumors occurs by alternative mechanisms , such as interstitial chromosomal deletion or reduced transcription .","['-', 'tumors']","['sporadic', 'tumors']",['sporadic'],[],['tumors']
NCBI,The mouse homolog of the Wiskott - Aldrich syndrome protein ( WASP ) gene is highly conserved and maps near the scurfy ( sf ) mutation on the X chromosome .,"['-', '-']","['scurfy', 'sf']","['scurfy', 'sf']",[],[]
NCBI,The quantitative distribution of VHL mRNA within fetal tissues reflected that seen by in situ hybridization and the ratio of the two VHL isoforms was similar between tissues .,"['VHL', 'VHL']","['-', '-']",[],"['VHL', 'VHL']",[]
NCBI,These common mutations have an etiological role in many breast and ovarian cancer cases and provide the opportunity to examine genotype - phenotype correlations and genotype - environment interactions in individuals with the identical BRCA1 lesion .,"['-', '-']","['BRCA1', 'lesion']","['BRCA1', 'lesion']",[],[]
NCBI,These results are significant not only in terms of their implications for furthering our understanding of galactosemia and GALT holoenzyme structure - function relationships but also because the system described may serve as a model for similar studies of other complexes composed of multiple subunits . .,['-'],['GALT'],['GALT'],[],[]
NCBI,This VHL - responsive element is GC rich and specifically binds the transcription factor Sp1 in crude nuclear extracts .,['-'],['VHL'],['VHL'],[],[]
NCBI,This agrees well with the fact that cardiac and muscle symptoms are characteristic for patients with VLCAD deficiency .,"['-', '-']","['cardiac', 'and']","['cardiac', 'and']",[],[]
NCBI,This case may therefore be another example of aniridia caused by a position effect as recently described in two familial aniridia patients in which the phenotype cosegregated with chromosome abnormalities with 11p13 breakpoints . .,"['familial', 'aniridia']","['-', 'aniridia']",[],['familial'],['aniridia']
NCBI,This corresponds well to the previous assignment of the locus for the human alkaptonuria gene ( AKU ) to the same chromosomal region by multipoint linkage analysis .,['-'],['AKU'],['AKU'],[],[]
NCBI,"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .","['-', '-']","['cellular', 'abnormalities']","['cellular', 'abnormalities']",[],[]
NCBI,"To begin to address the hypothesis that abnormal regulation of the breast / ovarian cancer susceptibility gene BRCA1 is a critical step in sporadic breast / ovarian tumorigenesis , we have determined the detailed structure of the BRCA1 genomic region .","['-', '-', '-', '-']","['breast', '/', 'ovarian', 'tumorigenesis']","['breast', '/', 'ovarian', 'tumorigenesis']",[],[]
NCBI,"To determine the mechanism for increased activity of the LA variant , we compared GALT mRNA , protein abundance , and enzyme thermal stability in lymphoblast cell lines of D and LA phenotypes with comparable genotypes .",['-'],['D'],['D'],[],[]
NCBI,"To evaluate this prevalence , we performed biochemical analysis of very long chain fatty acids in 14 male patients ( age ranging from 12 - 45 yr at diagnosis ) previously diagnosed as having primary idiopathic adrenocortical insufficiency .","['-', '-', 'adrenocortical']","['primary', 'idiopathic', 'adrenocortical']","['primary', 'idiopathic']",[],['adrenocortical']
NCBI,Two male breast cancer patients ( 4 % of the total ) were found to carry novel truncating mutations in the BRCA2 gene .,"['male', 'breast']","['-', 'breast']",[],['male'],['breast']
NCBI,Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,"['Type', 'protein', 'C2']","['-', '-', 'C2']",[],"['Type', 'protein']",['C2']
NCBI,"VEGF promoter - luciferase constructs were transiently cotransfected with a wild - type VHL ( wt - VHL ) vector in several cell lines , including 293 embryonic kidney and RCC cell lines .",['RCC'],['-'],[],['RCC'],[]
NCBI,"We found that DNA methylation within RB1 exons 8 , 14 , 25 , and 27 appeared to be restricted to CpGs , including six CGA codons .",['-'],['CpGs'],['CpGs'],[],[]
NCBI,We have therefore assessed the effect of the VHL gene product on VEGF expression .,['-'],['VHL'],['VHL'],[],[]
NCBI,We hypothesize that the patient is heterozygous for a complete deficiency of C9 and for a gene directing hyposynthesis of a defective C9 .,"['complete', 'deficiency']","['-', 'deficiency']",[],['complete'],['deficiency']
NCBI,"We provide evidence that not only reduced , but also increased levels of transcriptional regulators can cause developmental defects . .","['developmental', 'defects']","['-', '-']",[],"['developmental', 'defects']",[]
NCBI,We report details of a family with classic Li - Fraumeni syndrome in which there is a mutation in codon 344 of the tumour suppressor gene TP53 .,['-'],['classic'],['classic'],[],[]
NCBI,We studied a previously described Swiss family with inherited C9 deficiency .,"['inherited', 'C9']","['-', 'C9']",[],['inherited'],['C9']
NCBI,X - linked adrenoleukodystrophy is a frequent cause of idiopathic Addison ' s disease in young adult male patients .,"['-', 'Addison']","['idiopathic', 'Addison']",['idiopathic'],[],['Addison']
NCBI,"atm and p53 cooperate in apoptosis and suppression of tumorigenesis , but not in resistance to acute radiation toxicity .","['acute', 'radiation', 'toxicity']","['-', '-', '-']",[],"['acute', 'radiation', 'toxicity']",[]
NCBI,wt - VHL protein inhibited VEGF promoter activity in a dose - dependent manner up to 5 - to 10 - fold .,['-'],['VHL'],['VHL'],[],[]
