Sentence,Gold,Pred
951,"('adriamycin', 'O')","('adriamycin', 'B')"
953,"('adriamycin', 'O')","('adriamycin', 'B')"
954,"('isolated', 'O')","('isolated', 'B')"
967,"('dextran', 'O')","('dextran', 'I')"
969,"('chronic', 'O')","('chronic', 'B')"
983,"('chronic', 'O')","('chronic', 'B')"
985,"('PB', 'O')","('PB', 'B')"
986,"('PB', 'O')","('PB', 'B')"
989,"('toxic', 'O')","('toxic', 'B')"
991,"('ADC', 'O')","('ADC', 'B')"
993,"('delayed', 'O')","('delayed', 'B')"
1036,"('non', 'O')","('non', 'B')"
1037,"('non', 'O')","('non', 'B')"
1038,"('cardiac', 'O')","('cardiac', 'B')"
1047,"('radiation', 'B')","('radiation', 'O')"
1063,"('clear', 'O')","('clear', 'B')"
1067,"('MRI', 'O')","('MRI', 'B')"
1078,"('MRI', 'O')","('MRI', 'B')"
1079,"('adverse', 'O')","('adverse', 'B')"
1088,"('disturbance', 'O')","('disturbance', 'B')"
1094,"('CYP', 'O')","('CYP', 'B')"
1098,"('EMs', 'O')","('EMs', 'B')"
1100,"('EMs', 'O')","('EMs', 'B')"
1104,"('PMs', 'O')","('PMs', 'B')"
1106,"('PMs', 'O')","('PMs', 'B')"
1115,"('damage', 'I')","('damage', 'O')"
1118,"('Heparin', 'O')","('Heparin', 'B')"
1126,"('Doxorubicin', 'O')","('Doxorubicin', 'B')"
1127,"('DOX', 'O')","('DOX', 'B')"
1131,"('DOX', 'O')","('DOX', 'B')"
1132,"('DOX', 'O')","('DOX', 'B')"
1159,"('seizure', 'B')","('seizure', 'O')"
1162,"('seizures', 'B')","('seizures', 'O')"
1163,"('seizures', 'B')","('seizures', 'O')"
1165,"('convulsive', 'B')","('convulsive', 'O')"
1168,"('convulsions', 'B')","('convulsions', 'O')"
1169,"('convulsions', 'B')","('convulsions', 'O')"
1170,"('convulsions', 'B')","('convulsions', 'O')"
1171,"('convulsions', 'B')","('convulsions', 'O')"
1172,"('convulsive', 'B')","('convulsive', 'O')"
1177,"('Temporary', 'O')","('Temporary', 'B')"
1186,"('necrotizing', 'O')","('necrotizing', 'B')"
1188,"('necrotizing', 'O')","('necrotizing', 'B')"
1206,"('OSCS', 'O')","('OSCS', 'B')"
1208,"('metastatic', 'O')","('metastatic', 'B')"
1209,"('metastatic', 'O')","('metastatic', 'B')"
1210,"('obstructive', 'O')","('obstructive', 'B')"
1218,"('PCC', 'O')","('PCC', 'B')"
1227,"('chronic', 'O')","('chronic', 'B')"
1231,"('digestive', 'O')","('digestive', 'B')"
1249,"('nitroprusside', 'O')","('nitroprusside', 'I')"
1250,"('induced', 'O')","('induced', 'B')"
1251,"('induced', 'O')","('induced', 'B')"
1252,"('seizures', 'B')","('seizures', 'O')"
1256,"('seizures', 'B')","('seizures', 'O')"
1292,"('toxicity', 'I')","('toxicity', 'O')"
1295,"('cardiac', 'O')","('cardiac', 'B')"
1296,"('nitroglycerin', 'O')","('nitroglycerin', 'B')"
1309,"('hypotension', 'B')","('hypotension', 'I')"
1310,"('NTG', 'O')","('NTG', 'B')"
1312,"('hydroxydopamine', 'O')","('hydroxydopamine', 'I')"
1313,"('motor', 'O')","('motor', 'B')"
1325,"('neurodegenerative', 'O')","('neurodegenerative', 'B')"
1326,"('nonischemic', 'O')","('nonischemic', 'B')"
1327,"('postoperative', 'O')","('postoperative', 'B')"
1330,"('seizures', 'B')","('seizures', 'O')"
1332,"('seizures', 'B')","('seizures', 'O')"
1333,"('seizures', 'B')","('seizures', 'O')"
1334,"('seizures', 'B')","('seizures', 'O')"
1336,"('seizures', 'B')","('seizures', 'O')"
1338,"('T', 'O')","('T', 'B')"
1340,"('LP', 'O')","('LP', 'B')"
1346,"('streptozotocin', 'O')","('streptozotocin', 'B')"
1352,"('gentamicin', 'O')","('gentamicin', 'B')"
1364,"('isoflurane', 'O')","('isoflurane', 'I')"
1377,"('BMD', 'O')","('BMD', 'B')"
1381,"('fracture', 'O')","('fracture', 'B')"
1383,"('LES', 'O')","('LES', 'B')"
1384,"('LES', 'O')","('LES', 'B')"
1387,"('LES', 'O')","('LES', 'B')"
1388,"('Rosaceiform', 'O')","('Rosaceiform', 'B')"
1389,"('epithelioid', 'O')","('epithelioid', 'B')"
1390,"('rosaceiform', 'O')","('rosaceiform', 'B')"
1391,"('acute', 'B')","('acute', 'O')"
1394,"('renal', 'B')","('renal', 'O')"
1398,"('toxicity', 'B')","('toxicity', 'O')"
1400,"('chest', 'O')","('chest', 'B')"
1401,"('arrhythmia', 'B')","('arrhythmia', 'O')"
1403,"('arrhythmia', 'B')","('arrhythmia', 'O')"
1404,"('streptozotocin', 'O')","('streptozotocin', 'B')"
1411,"('diabetes', 'B')","('diabetes', 'O')"
1417,"('sporadic', 'O')","('sporadic', 'B')"
1419,"('sporadic', 'O')","('sporadic', 'B')"
1427,"('methamphetamine', 'O')","('methamphetamine', 'B')"
1434,"('paracetamol', 'O')","('paracetamol', 'B')"
1435,"('paracetamol', 'O')","('paracetamol', 'B')"
1437,"('paracetamol', 'O')","('paracetamol', 'B')"
1438,"('liver', 'I')","('liver', 'B')"
1441,"('acute', 'B')","('acute', 'O')"
1452,"('CCNU', 'O')","('CCNU', 'B')"
1453,"('CCNU', 'O')","('CCNU', 'B')"
1454,"('toxicity', 'B')","('toxicity', 'O')"
1455,"('toxicity', 'B')","('toxicity', 'O')"
1457,"('toxicity', 'B')","('toxicity', 'O')"
1459,"('immunodeficiency', 'B')","('immunodeficiency', 'I')"
1460,"('toxicity', 'B')","('toxicity', 'O')"
1467,"('cutaneous', 'O')","('cutaneous', 'B')"
1471,"('seizures', 'B')","('seizures', 'O')"
1472,"('seizures', 'B')","('seizures', 'O')"
1473,"('seizure', 'B')","('seizure', 'O')"
1481,"('solid', 'O')","('solid', 'B')"
1485,"('death', 'I')","('death', 'O')"
1499,"('hepatitis', 'B')","('hepatitis', 'O')"
1545,"('toxicity', 'B')","('toxicity', 'O')"
1547,"('local', 'O')","('local', 'B')"
1548,"('local', 'O')","('local', 'B')"
1549,"('seizures', 'B')","('seizures', 'O')"
1550,"('seizure', 'B')","('seizure', 'O')"
1551,"('seizures', 'B')","('seizures', 'O')"
1552,"('seizures', 'B')","('seizures', 'O')"
1553,"('seizure', 'B')","('seizure', 'O')"
1556,"('cerebral', 'O')","('cerebral', 'B')"
1557,"('cerebral', 'O')","('cerebral', 'B')"
1566,"('-', 'O')","('-', 'I')"
1567,"('idiopathic', 'O')","('idiopathic', 'B')"
1584,"('respiratory', 'B')","('respiratory', 'O')"
1610,"('isoniazid', 'O')","('isoniazid', 'B')"
1627,"('microangiopathic', 'O')","('microangiopathic', 'B')"
1631,"('epidural', 'O')","('epidural', 'I')"
1670,"('neuroleptic', 'O')","('neuroleptic', 'B')"
1671,"('fulminant', 'O')","('fulminant', 'B')"
1673,"('fulminant', 'O')","('fulminant', 'B')"
1676,"('fulminant', 'O')","('fulminant', 'B')"
1685,"('hepatitis', 'B')","('hepatitis', 'O')"
1687,"('Clinical', 'O')","('Clinical', 'B')"
1688,"('ISG', 'O')","('ISG', 'B')"
1692,"('autochthonous', 'O')","('autochthonous', 'B')"
1695,"('toxicity', 'B')","('toxicity', 'O')"
1696,"('immunocompromised', 'O')","('immunocompromised', 'B')"
1700,"('Proximal', 'O')","('Proximal', 'B')"
1701,"('proximal', 'O')","('proximal', 'B')"
1705,"('toxicity', 'I')","('toxicity', 'O')"
1710,"('psychiatric', 'B')","('psychiatric', 'O')"
1713,"('hepatectomy', 'O')","('hepatectomy', 'I')"
1714,"('PB', 'O')","('PB', 'B')"
1716,"('PB', 'O')","('PB', 'B')"
1720,"('optic', 'O')","('optic', 'B')"
1724,"('infection', 'B')","('infection', 'O')"
1726,"('infections', 'B')","('infections', 'O')"
1735,"('delayed', 'O')","('delayed', 'B')"
1737,"('delayed', 'O')","('delayed', 'B')"
1753,"('degeneration', 'O')","('degeneration', 'B')"
1754,"('muscle', 'B')","('muscle', 'O')"
1755,"('Gentamicin', 'O')","('Gentamicin', 'B')"
1762,"('neoplastic', 'O')","('neoplastic', 'B')"
1769,"('DPH', 'O')","('DPH', 'B')"
1770,"('segmental', 'O')","('segmental', 'B')"
1771,"('Quinidine', 'O')","('Quinidine', 'B')"
1776,"('hepatic', 'B')","('hepatic', 'O')"
1782,"('ouabain', 'O')","('ouabain', 'B')"
1801,"('gastric', 'O')","('gastric', 'B')"
1802,"('gastric', 'O')","('gastric', 'B')"
1806,"('or', 'I')","('or', 'O')"
1807,"('gastric', 'O')","('gastric', 'B')"
1811,"('motor', 'O')","('motor', 'B')"
1812,"('seizures', 'B')","('seizures', 'O')"
1813,"('complex', 'O')","('complex', 'I')"
1815,"('isoproterenol', 'O')","('isoproterenol', 'B')"
1823,"('developed', 'O')","('developed', 'B')"
1825,"('hypertrophic', 'B')","('hypertrophic', 'O')"
1831,"('Doxorubicin', 'O')","('Doxorubicin', 'B')"
1832,"('of', 'O')","('of', 'I')"
1833,"('left', 'O')","('left', 'B')"
1834,"('of', 'O')","('of', 'I')"
1842,"('muscular', 'O')","('muscular', 'B')"
1846,"('IF', 'O')","('IF', 'B')"
1849,"('IF', 'O')","('IF', 'B')"
1850,"('toxicity', 'B')","('toxicity', 'O')"
1853,"('seizures', 'B')","('seizures', 'O')"
1855,"('convulsions', 'B')","('convulsions', 'O')"
1856,"('seizure', 'B')","('seizure', 'O')"
1858,"('convulsions', 'B')","('convulsions', 'O')"
1867,"('Complete', 'O')","('Complete', 'B')"
1869,"('conduction', 'O')","('conduction', 'B')"
1877,"('heparin', 'O')","('heparin', 'B')"
1881,"('toxicity', 'B')","('toxicity', 'O')"
1901,"('obstruction', 'O')","('obstruction', 'B')"
1904,"('tricuspid', 'O')","('tricuspid', 'B')"
1919,"('PVC', 'O')","('PVC', 'B')"
1922,"('PVC', 'O')","('PVC', 'B')"
1925,"('engorgement', 'O')","('engorgement', 'I')"
1926,"('fibrosis', 'B')","('fibrosis', 'I')"
1927,"('Chlorpropamide', 'O')","('Chlorpropamide', 'B')"
1933,"('ocular', 'B')","('ocular', 'O')"
1937,"('Extrapyramidal', 'O')","('Extrapyramidal', 'B')"
1938,"('extrapyramidal', 'O')","('extrapyramidal', 'B')"
1942,"('EPS', 'O')","('EPS', 'B')"
1943,"('anesthetic', 'O')","('anesthetic', 'I')"
1944,"('convulsions', 'B')","('convulsions', 'O')"
1947,"('convulsions', 'B')","('convulsions', 'O')"
1948,"('convulsions', 'B')","('convulsions', 'O')"
1952,"('doxorubicin', 'O')","('doxorubicin', 'B')"
1955,"('Performance', 'O')","('Performance', 'B')"
1956,"('Catheterization', 'O')","('Catheterization', 'B')"
1975,"('Urinary', 'O')","('Urinary', 'B')"
1978,"('degenerative', 'O')","('degenerative', 'B')"
1979,"('toxicity', 'B')","('toxicity', 'O')"
1983,"('acute', 'B')","('acute', 'O')"
1994,"('Pravastatin', 'O')","('Pravastatin', 'B')"
1996,"('acute', 'O')","('acute', 'B')"
1998,"('acute', 'O')","('acute', 'B')"
2000,"('toxic', 'O')","('toxic', 'B')"
2004,"('allergic', 'O')","('allergic', 'B')"
2005,"('Halothane', 'O')","('Halothane', 'B')"
2006,"('halothane', 'O')","('halothane', 'B')"
2011,"('condition', 'O')","('condition', 'I')"
2013,"('Cholinergic', 'O')","('Cholinergic', 'B')"
2014,"('cholinergic', 'O')","('cholinergic', 'B')"
2021,"('toxicity', 'B')","('toxicity', 'O')"
2030,"('ischemic', 'B')","('ischemic', 'O')"
2031,"('renal', 'B')","('renal', 'O')"
2032,"('renal', 'B')","('renal', 'O')"
2039,"('renal', 'B')","('renal', 'O')"
2048,"('complete', 'O')","('complete', 'B')"
2049,"('complete', 'O')","('complete', 'B')"
2050,"('indomethacin', 'O')","('indomethacin', 'B')"
2058,"('indomethacin', 'O')","('indomethacin', 'B')"
2062,"('DM', 'O')","('DM', 'B')"
2083,"('Auditory', 'O')","('Auditory', 'B')"
2096,"('human', 'O')","('human', 'B')"
2101,"('acute', 'O')","('acute', 'B')"
2106,"('heparin', 'O')","('heparin', 'B')"
2107,"('heparin', 'O')","('heparin', 'B')"
2108,"('heparin', 'O')","('heparin', 'B')"
2126,"('facial', 'O')","('facial', 'B')"
2127,"('photodistributed', 'O')","('photodistributed', 'B')"
2140,"('advanced', 'O')","('advanced', 'B')"
2145,"('toxicity', 'B')","('toxicity', 'O')"
2155,"('Neuropathic', 'O')","('Neuropathic', 'B')"
2156,"('vincristine', 'O')","('vincristine', 'B')"
2159,"('seizures', 'B')","('seizures', 'O')"
2160,"('seizure', 'B')","('seizure', 'O')"
2161,"('seizures', 'B')","('seizures', 'O')"
2163,"('neuronal', 'B')","('neuronal', 'O')"
2167,"('seizure', 'B')","('seizure', 'O')"
2169,"('deliberate', 'O')","('deliberate', 'B')"
2170,"('deliberate', 'O')","('deliberate', 'B')"
2176,"('destructive', 'O')","('destructive', 'B')"
2177,"('seizures', 'B')","('seizures', 'O')"
2181,"('moderate', 'O')","('moderate', 'B')"
2182,"('moderate', 'O')","('moderate', 'B')"
2191,"('primary', 'O')","('primary', 'B')"
2192,"('renal', 'I')","('renal', 'B')"
2198,"('hyperplastic', 'O')","('hyperplastic', 'B')"
2201,"('hyperplastic', 'O')","('hyperplastic', 'B')"
2207,"('malignant', 'O')","('malignant', 'B')"
2233,"('advanced', 'O')","('advanced', 'B')"
2240,"('toxicity', 'B')","('toxicity', 'O')"
2241,"('advanced', 'O')","('advanced', 'B')"
2242,"('advanced', 'O')","('advanced', 'B')"
2251,"('acute', 'O')","('acute', 'B')"
2275,"('acetaminophen', 'O')","('acetaminophen', 'B')"
2276,"('AAP', 'O')","('AAP', 'B')"
2278,"('damage', 'I')","('damage', 'O')"
2280,"('AAP', 'O')","('AAP', 'B')"
2282,"('desipramine', 'O')","('desipramine', 'B')"
2292,"('tricyclic', 'O')","('tricyclic', 'B')"
2303,"('dependent', 'O')","('dependent', 'B')"
2310,"('non', 'O')","('non', 'B')"
2312,"('Cyclophosphamide', 'O')","('Cyclophosphamide', 'B')"
2313,"('cyclophosphamide', 'O')","('cyclophosphamide', 'B')"
2314,"('transitional', 'O')","('transitional', 'B')"
2317,"('extensive', 'O')","('extensive', 'B')"
2318,"('Cyclophosphamide', 'O')","('Cyclophosphamide', 'B')"
2323,"('toxicity', 'B')","('toxicity', 'O')"
2324,"('toxicity', 'B')","('toxicity', 'O')"
2325,"('toxicity', 'B')","('toxicity', 'O')"
2326,"('toxicity', 'B')","('toxicity', 'O')"
2338,"('myopic', 'O')","('myopic', 'B')"
2339,"('keratectomy', 'O')","('keratectomy', 'I')"
2342,"('myopic', 'O')","('myopic', 'B')"
2346,"('Myopic', 'O')","('Myopic', 'B')"
2350,"('toxicity', 'B')","('toxicity', 'O')"
2361,"('degeneration', 'O')","('degeneration', 'B')"
2362,"('seizures', 'B')","('seizures', 'O')"
2364,"('pilocarpine', 'O')","('pilocarpine', 'B')"
2365,"('limbic', 'O')","('limbic', 'B')"
2366,"('NMDA', 'O')","('NMDA', 'B')"
2375,"('gynecologic', 'O')","('gynecologic', 'B')"
2376,"('stage', 'O')","('stage', 'B')"
2399,"('AChE', 'O')","('AChE', 'B')"
2407,"('seizure', 'B')","('seizure', 'O')"
2427,"('mesangial', 'O')","('mesangial', 'B')"
2432,"('-', 'O')","('-', 'I')"
2434,"('-', 'O')","('-', 'I')"
2441,"('-', 'O')","('-', 'I')"
2450,"('Moraxella', 'O')","('Moraxella', 'B')"
2458,"('Contre', 'O')","('Contre', 'I')"
2466,"('advanced', 'B')","('advanced', 'O')"
2482,"('predominant', 'O')","('predominant', 'I')"
2485,"('hysterectomised', 'O')","('hysterectomised', 'B')"
2488,"('hysterectomised', 'O')","('hysterectomised', 'B')"
2489,"('hysterectomy', 'O')","('hysterectomy', 'B')"
2505,"('seizures', 'B')","('seizures', 'O')"
2519,"('renal', 'B')","('renal', 'O')"
2520,"('doxorubicin', 'O')","('doxorubicin', 'B')"
2532,"('toxicity', 'B')","('toxicity', 'O')"
2540,"('OD', 'O')","('OD', 'B')"
2541,"('OD', 'O')","('OD', 'B')"
2543,"('OD', 'O')","('OD', 'B')"
2549,"('cardiovascular', 'B')","('cardiovascular', 'O')"
